"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
50 771 1 0.308487331465529 -0.0898859995335377 FALSE ""
1000 298 2 0.340541151188712 0.127293761135182 FALSE ""
50 169 3 0.363576163038135 0.138698720551692 FALSE ""
100 868 4 0.194348130652031 0.300279021790951 FALSE ""
50 182 5 0.404103138949531 -0.121210423167439 FALSE ""
100 375 6 0.270749547233627 0.300811058496761 FALSE ""
1000 309 7 0.328859692763175 0.11625864448889 FALSE ""
1000 658 8 0.310792409387224 0.131956907151747 FALSE ""
1000 843 9 0.334928122715474 0.0900695034078602 FALSE ""
1000 118 10 0.347121077123568 0.0712119726375594 FALSE ""
100 563 11 0.413437488024551 0.0303298540240442 FALSE ""
1000 890 12 0.303382971464692 0.155794667915014 FALSE ""
100 790 13 0.313462591474279 0.0618078391011392 FALSE ""
500 11 14 0.290866377297275 0.215010811642081 FALSE ""
100 309 15 0.348163599829359 0.201540384679078 FALSE ""
500 443 16 0.316057467950306 0.182514975183596 FALSE ""
1000 337 17 0.363166753495997 0.0370515924557102 FALSE ""
1000 894 18 0.293354540609536 0.133514477672013 FALSE ""
50 891 19 0.221143208255725 0.327115791278598 FALSE ""
500 997 20 0.327769674283701 0.127262215910622 FALSE ""
1000 36 21 0.329058870220093 0.125835472541743 FALSE ""
100 687 22 0.385700350343108 0.0319779837178994 FALSE ""
1000 438 23 0.355989688151424 0.0641643371654494 FALSE ""
100 379 24 0.287101889210209 0.217171062013161 FALSE ""
1000 416 25 0.379958134702717 0.00129935456270652 FALSE ""
1000 735 26 0.302231681921126 0.15867987706065 FALSE ""
500 611 27 0.337448071486679 0.0884858249140129 FALSE ""
500 676 28 0.333386971265008 0.091163658980596 FALSE ""
50 564 29 0.226558743168608 0.246375844996938 FALSE ""
100 341 30 0.399477763246397 0.0527704628258375 FALSE ""
500 231 31 0.344018325898758 0.0576325913922935 FALSE ""
1000 182 32 0.352186195726521 0.0328669163008007 FALSE ""
500 227 33 0.338461195596384 0.11130721340183 FALSE ""
50 623 34 0.270667352233706 0.164922305771434 FALSE ""
