"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
600 761 1 0.301024769336243 0.233139767158049 FALSE ""
400 391 2 0.30257632607742 0.202997631346819 FALSE ""
200 846 3 0.18628255122515 0.359342043880352 FALSE ""
400 927 4 0.327225584925954 0.204903899730832 FALSE ""
600 708 5 0.267450026415864 0.221939917537458 FALSE ""
800 540 6 0.31201440246081 0.197622229758022 FALSE ""
800 197 7 0.289084127410678 0.240889726011796 FALSE ""
200 876 8 0.298264455274326 0.205485713612245 FALSE ""
1000 528 9 0.283050688137462 0.231355518751429 FALSE ""
600 273 10 0.283484964565075 0.276748305311379 FALSE ""
600 864 11 0.301334536961478 0.235562902919548 FALSE ""
1000 77 12 0.284288301831957 0.215899491165797 FALSE ""
800 301 13 0.276251950016549 0.19775970060934 FALSE ""
400 861 14 0.291518423855948 0.203221492968766 FALSE ""
1200 423 15 0.312144675925089 0.159900799170181 FALSE ""
800 519 16 0.33114348255123 0.164817390565443 FALSE ""
1200 315 17 0.263654309955046 0.228294395639582 FALSE ""
200 351 18 0.292068097347509 0.195771566229321 FALSE ""
200 223 19 0.322406813351971 0.128503979965546 FALSE ""
800 952 20 0.340804061674523 0.0977736616602195 FALSE ""
600 116 21 0.252250352454822 0.219789454236582 FALSE ""
600 207 22 0.344869261176081 0.157838239023863 FALSE ""
600 74 23 0.319201140231851 0.22066415808237 FALSE ""
200 24 24 0.304608933672322 0.18376865107578 FALSE ""
1000 605 25 0.290093869225294 0.177840605321011 FALSE ""
800 440 26 0.298061576664214 0.149108977546231 FALSE ""
800 410 27 0.280188158982725 0.250090296705828 FALSE ""
1200 855 28 0.288688561268436 0.179095850468756 FALSE ""
400 32 29 0.262009364880867 0.24052854742805 FALSE ""
800 912 30 0.282859715506932 0.232998494759782 FALSE ""
400 341 31 0.304412721049452 0.180107599735558 FALSE ""
1000 852 32 0.278949323897093 0.241993790308513 FALSE ""
1200 27 33 0.306802266313609 0.163090346884348 FALSE ""
1000 720 34 0.280450371374515 0.239921821297844 FALSE ""
200 503 35 0.139221508834572 0.361212557257929 FALSE ""
600 956 36 0.267389881379945 0.235120352273823 FALSE ""
200 58 37 0.247270476957464 0.245408918361287 FALSE ""
800 769 38 0.275221651909229 0.217919235857574 FALSE ""
400 429 39 0.345348338152204 0.105089592220802 FALSE ""
1000 131 40 0.324412794043047 0.142157757763266 FALSE ""
1000 987 41 0.334273376907063 0.157295319390471 FALSE ""
200 627 42 0.337496222850572 0.186168452083173 FALSE ""
400 534 43 0.27127004222863 0.289022025297954 FALSE ""
400 344 44 0.25322227773669 0.30689614877729 FALSE ""
200 457 45 0.250687489935327 0.211342008358166 FALSE ""
1000 745 46 0.31869260971349 0.18093511342008 FALSE ""
1000 704 47 0.274422899093256 0.242299815420405 FALSE ""
800 872 48 0.297020336401723 0.212207070682839 FALSE ""
1200 197 49 0.266661099279345 0.266941688861001 FALSE ""
400 127 50 0.309115362575681 0.181155489228229 FALSE ""
800 13 51 0.309253275675387 0.207236474255945 FALSE ""
1200 355 52 0.271766494094438 0.260161905063636 FALSE ""
1000 705 53 0.349966978040502 0.129485894852446 FALSE ""
800 743 54 0.310479318319225 0.227253095518767 FALSE ""
200 6 55 0.248666321778078 0.259604023750625 FALSE ""
1200 456 56 0.324144935904651 0.182783855739129 FALSE ""
1000 383 57 0.28946624828646 0.236864441018836 FALSE ""
200 991 58 0.16361275667156 0.434344745569629 FALSE ""
1200 926 59 0.274761084735512 0.252634860215114 FALSE ""
1200 327 60 0.290211115631233 0.20310325540211 FALSE ""
200 562 61 0.393251774028915 0.0536918806056449 FALSE ""
1000 206 62 0.313562373678469 0.206901613361766 FALSE ""
200 793 63 0.226419963684133 0.240618412598175 FALSE ""
600 132 64 0.246640193646046 0.282113908765444 FALSE ""
200 95 65 0.1819879796594 0.402202134673916 FALSE ""
800 182 66 0.297833072402196 0.171061221051929 FALSE ""
800 634 67 0.273705530456811 0.227221451478997 FALSE ""
1200 822 68 0.335077995749915 0.196222939047909 FALSE ""
400 365 69 0.291715208997028 0.207021331222518 FALSE ""
200 216 70 0.27184036167987 0.309692505991949 FALSE ""
600 121 71 0.253292129565596 0.295338059875512 FALSE ""
600 272 72 0.307550564762746 0.220152002310535 FALSE ""
400 770 73 0.333271910521284 0.184530517735156 FALSE ""
200 903 74 0.243967725578382 0.234489711576997 FALSE ""
1000 566 75 0.33889460212927 0.139586138663637 FALSE ""
1000 143 76 0.322672465564854 0.155904602212588 FALSE ""
600 678 77 0.303940189881626 0.16525153958585 FALSE ""
1000 969 78 0.300743058283164 0.171858497201392 FALSE ""
200 274 79 0.29204100168479 0.207164658785528 FALSE ""
1000 920 80 0.298464544511942 0.203617891726174 FALSE ""
800 38 81 0.268261987021438 0.284827902518773 FALSE ""
1000 62 82 0.298240277787388 0.187026550003164 FALSE ""
200 613 83 0.303575146235698 0.234874081605641 FALSE ""
1200 843 84 0.30002044959035 0.186893059880673 FALSE ""
400 933 85 0.359555915507005 0.178743572277801 FALSE ""
1200 729 86 0.292463577599096 0.203417271466785 FALSE ""
600 319 87 0.300133403590842 0.205180203832331 FALSE ""
600 411 88 0.314803323283007 0.187786599469562 FALSE ""
800 168 89 0.307722288566914 0.174732501101819 FALSE ""
1000 533 90 0.337631793376464 0.120493890911393 FALSE ""
1200 344 91 0.266405144308543 0.213255581977956 FALSE ""
1000 561 92 0.270405380278995 0.254053414572304 FALSE ""
1000 646 93 0.320142334466277 0.16883162119747 FALSE ""
1000 590 94 0.35496070502744 0.1214800464999 FALSE ""
1000 142 95 0.258232907224914 0.245580229245209 FALSE ""
200 631 96 0.285176381603454 0.204912738841099 FALSE ""
600 563 97 0.241062704168111 0.317743876902576 FALSE ""
600 632 98 0.252061415565869 0.249429528996389 FALSE ""
1200 93 99 0.275012039181383 0.248547931265298 FALSE ""
200 108 100 0.245047328411095 0.266744751536319 FALSE ""
400 224 101 0.262705016397618 0.166332165030883 FALSE ""
400 57 102 0.324810458245847 0.136693317652902 FALSE ""
400 125 103 0.32510143342653 0.126204688268461 FALSE ""
800 73 104 0.311787534904737 0.165469559711132 FALSE ""
600 239 105 0.261481475417399 0.263946584201035 FALSE ""
200 523 106 0.345116629392051 0.164539567479052 FALSE ""
800 289 107 0.284842491285738 0.229628727894937 FALSE ""
200 678 108 0.244065065677706 0.409049805075264 FALSE ""
800 160 109 0.343888511979238 0.136431355633987 FALSE ""
600 288 110 0.336335884432587 0.126069252988903 FALSE ""
200 993 111 0.287301236020614 0.235800071766097 FALSE ""
1200 384 112 0.297472797550882 0.184906811621874 FALSE ""
1200 32 113 0.297824171654537 0.182308839002056 FALSE ""
1200 772 114 0.326520711802608 0.157007622495237 FALSE ""
400 848 115 0.23606246488446 0.257206131626432 FALSE ""
200 510 116 0.38737632227649 0.181956358799447 FALSE ""
600 174 117 0.278291320691484 0.219229166187225 FALSE ""
400 761 118 0.328399576818332 0.102586428635842 FALSE ""
600 905 119 0.278705641180958 0.249528246693962 FALSE ""
800 284 120 0.278045373951181 0.259025266826487 FALSE ""
400 59 121 0.324773791242326 0.227482987156895 FALSE ""
200 923 122 0.222648978187466 0.31797182729689 FALSE ""
800 587 123 0.303185188933773 0.214513659754812 FALSE ""
600 254 124 0.347109307397115 0.166406878458139 FALSE ""
800 220 125 0.354343132182947 0.10315404490196 FALSE ""
1200 229 126 0.267066067353592 0.238866598704926 FALSE ""
400 269 127 0.350101656875002 0.0790900191468992 FALSE ""
