"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
500 1385 1 0.325620568094112 0.144392561239883 FALSE ""
100 499 2 0.292513016291214 0.1301248148992 FALSE ""
500 4135 3 0.250703455292501 0.283876766346688 FALSE ""
50 4852 4 0.252743979983141 0.213818587978876 FALSE ""
1000 3529 5 0.327570430267298 0.156459438076411 FALSE ""
1000 1484 6 0.281525671500426 0.235120072488708 FALSE ""
500 2399 7 0.282260238874786 0.237742432169508 FALSE ""
100 942 8 0.208009196518789 0.279252380099976 FALSE ""
1000 1500 9 0.29516988604015 0.187504177657947 FALSE ""
50 3668 10 0.45485373176876 -0.163953723967028 FALSE ""
100 1628 11 0.313492775411015 0.238931695810498 FALSE ""
500 445 12 0.325340906487542 0.179304355025231 FALSE ""
1000 1443 13 0.329599677272081 0.140654899416009 FALSE ""
100 3098 14 0.281018016613453 0.242816818547296 FALSE ""
50 2667 15 0.0428910364692591 0.604239809200172 FALSE ""
500 1677 16 0.284693082535761 0.208979541538008 FALSE ""
500 2745 17 0.295570745933611 0.236547430207977 FALSE ""
500 4796 18 0.231532621185038 0.30810072893555 FALSE ""
500 641 19 0.263814805981028 0.261021764309935 FALSE ""
100 3357 20 0.287504057267856 0.217663892383067 FALSE ""
1000 1994 21 0.278543419193415 0.234392782516285 FALSE ""
500 913 22 0.245473173243391 0.296917909722844 FALSE ""
1000 2395 23 0.290546406258888 0.235660955997886 FALSE ""
500 327 24 0.326141432714962 0.213683099452895 FALSE ""
1000 1450 25 0.258478586217922 0.274805017009215 FALSE ""
100 3529 26 0.23662486148725 0.247305072869499 FALSE ""
500 2609 27 0.309199642805327 0.17583059770735 FALSE ""
50 1009 28 0.413409095067799 0.0454054079417701 FALSE ""
50 916 29 0.204579620076072 0.175595527470767 FALSE ""
500 2059 30 0.350704686348376 0.15771232778942 FALSE ""
50 4185 31 0.228100685310145 0.267240429924903 FALSE ""
100 2368 32 0.225482532220978 0.339784505084798 FALSE ""
500 755 33 0.30963889982631 0.190563016283592 FALSE ""
500 3857 34 0.261270710768247 0.259035162845305 FALSE ""
