"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
100 1111 1 0.109492280714075 0.475506865787462 FALSE ""
1000 8336 2 0.288356881839071 0.189431546611054 FALSE ""
1000 9952 3 0.31424590905598 0.20172066052355 FALSE ""
50 1845 4 0.344537786551662 0.213160371925332 FALSE ""
1000 9728 5 0.29626312508488 0.191823384523722 FALSE ""
100 7581 6 0.337238391256713 0.167837046652396 FALSE ""
50 4971 7 0.259569386640976 0.286808185575658 FALSE ""
100 579 8 0.196992922446201 0.344610129270569 FALSE ""
100 2447 9 0.272451885928604 0.0797681776343721 FALSE ""
100 9597 10 0.341318606850346 0.129990939441884 FALSE ""
100 1888 11 0.288805381404591 0.0969903814225997 FALSE ""
500 433 12 0.327030789446442 0.115344932766247 FALSE ""
50 8865 13 0.307314074341359 0.176423524006796 FALSE ""
50 7611 14 0.214831323711755 0.306082121375277 FALSE ""
100 5631 15 0.357223547092459 0.146996960487328 FALSE ""
500 6935 16 0.315289500676828 0.200068399485495 FALSE ""
100 5751 17 0.254497767906348 0.18685336493655 FALSE ""
500 6942 18 0.323184112563859 0.212443170002786 FALSE ""
500 9832 19 0.315147850417872 0.187303823246419 FALSE ""
1000 1314 20 0.300356203145318 0.140474128922305 FALSE ""
50 3676 21 0.151500254568313 0.435399690473001 FALSE ""
500 7396 22 0.284020920386551 0.147178947202514 FALSE ""
50 9068 23 0.410645715516142 -0.0143718256695038 FALSE ""
1000 929 24 0.322492006603689 0.193535710693087 FALSE ""
100 827 25 0.451499016173284 -0.141466043243542 FALSE ""
50 7179 26 0.276519225365685 0.293313077372509 FALSE ""
50 3806 27 0.143683492490191 0.540430970546447 FALSE ""
500 3701 28 0.247893580332208 0.300747652088963 FALSE ""
500 1074 29 0.325832684918072 0.228408754350236 FALSE ""
1000 1275 30 0.297784823583135 0.189181259603674 FALSE ""
50 2669 31 0.23575064416378 0.331751409221964 FALSE ""
1000 6813 32 0.327219647686308 0.109103081464727 FALSE ""
50 2394 33 0.29521646014085 0.196614004997788 FALSE ""
50 385 34 0.383894778385501 0.165396472477203 FALSE ""
500 8687 35 0.318595318241311 0.181781830621519 FALSE ""
50 3591 36 0.193946000332082 0.558295167172627 FALSE ""
500 6004 37 0.269687035225247 0.220482546013052 FALSE ""
50 4575 38 0.255261235703241 0.607882572369234 FALSE ""
1000 5857 39 0.304965117622193 0.209978283612992 FALSE ""
100 8547 40 0.545151597307624 -0.153449091045196 FALSE ""
50 6848 41 0.192157901130479 0.514008770169817 FALSE ""
1000 9636 42 0.295235796653284 0.202309618213935 FALSE ""
100 455 43 0.416794849966025 0.0441189979966765 FALSE ""
1000 5911 44 0.299080891712834 0.201350505374483 FALSE ""
100 8202 45 0.216955020691709 0.380424767352947 FALSE ""
50 6506 46 0.0136809412316472 0.72881469532534 FALSE ""
50 6567 47 0.282291565665974 0.219584880222907 FALSE ""
50 7586 48 0.35106471753524 -0.0496846227885441 FALSE ""
50 3160 49 0.181667308565231 0.298481254032366 FALSE ""
50 5559 50 0.381194017877211 0.0875115145445202 FALSE ""
100 402 51 0.371834368258531 0.165179795006634 FALSE ""
50 8130 52 0.290119960993996 0.193944887002357 FALSE ""
500 5419 53 0.342373248969727 0.139735127709248 FALSE ""
1000 3196 54 0.259445747818337 0.247531195203845 FALSE ""
100 9343 55 0.221969545622461 0.351014060558687 FALSE ""
1000 1183 56 0.314952714491474 0.173134332302568 FALSE ""
50 3035 57 0.431168549731651 -0.0667539230771498 FALSE ""
100 529 58 0.209950125992814 0.298856015597247 FALSE ""
50 459 59 0.441547857918396 -0.0854969592606336 FALSE ""
100 7098 60 0.316436033786931 0.176944993144998 FALSE ""
1000 3356 61 0.304408930822377 0.213820595428466 FALSE ""
1000 176 62 0.28906613847913 0.207156289943854 FALSE ""
1000 1928 63 0.333490311109979 0.146469884344105 FALSE ""
500 9823 64 0.306362579038934 0.204691141652493 FALSE ""
1000 9640 65 0.289185734841744 0.205544992608264 FALSE ""
1000 4198 66 0.31064882051199 0.188490481883321 FALSE ""
50 4738 67 0.282439588749995 0.140539366227471 FALSE ""
500 8126 68 0.330114324807016 0.139540179408933 FALSE ""
500 9194 69 0.288952997920281 0.223260230065571 FALSE ""
100 4293 70 0.284807944227547 0.147275255864199 FALSE ""
50 2646 71 0.418094698578709 0.00794696148391482 FALSE ""
100 2414 72 0.280091446316318 0.238244556568569 FALSE ""
500 3508 73 0.264064454554675 0.286383498644522 FALSE ""
100 4869 74 0.419354274229478 0.0475548203475433 FALSE ""
1000 7670 75 0.262136881882056 0.259797369254595 FALSE ""
1000 980 76 0.302958197880508 0.174077317177073 FALSE ""
500 3502 77 0.328626009081246 0.177128944511035 FALSE ""
1000 2017 78 0.312160704345936 0.138296665804947 FALSE ""
50 6154 79 0.191218278230138 0.274630873287197 FALSE ""
500 9110 80 0.324923326708879 0.148989651217502 FALSE ""
1000 3670 81 0.27719161762583 0.207532645890965 FALSE ""
50 9305 82 0.33055880349426 0.0556974009069651 FALSE ""
100 5278 83 0.237407936413724 0.259864795174356 FALSE ""
50 2783 84 0.276630097022868 0.360695157528809 FALSE ""
500 9276 85 0.322309939169083 0.175494257965624 FALSE ""
50 1332 86 0.353515899080872 0.108012174718023 FALSE ""
50 3306 87 0.306435096845989 0.221708407127353 FALSE ""
1000 1907 88 0.257965015943981 0.260720090663721 FALSE ""
100 8338 89 0.264222421507073 0.0608945942984653 FALSE ""
1000 6360 90 0.320292710718876 0.157877825168858 FALSE ""
50 6066 91 0.594289059062174 -0.265377868041211 FALSE ""
500 8225 92 0.293943795855556 0.276558798091712 FALSE ""
1000 4892 93 0.299137012444378 0.169504269710637 FALSE ""
1000 3562 94 0.314594232684725 0.161016304953848 FALSE ""
100 5119 95 0.175100447685392 0.38129079259855 FALSE ""
100 8900 96 0.173334358134949 0.361777585683462 FALSE ""
50 8499 97 0.0958352422636135 0.448656767206376 FALSE ""
500 2883 98 0.316293151532343 0.155859446431608 FALSE ""
50 8256 99 0.377737223521381 0.127964962253867 FALSE ""
50 9512 100 0.485386902154679 -0.229237741525789 FALSE ""
1000 8616 101 0.290837885315995 0.231808536184309 FALSE ""
50 5585 102 0.236013838747767 0.196337722443048 FALSE ""
50 4680 103 0.274140200231961 0.249864043295474 FALSE ""
100 7717 104 0.307122922600125 0.140423658198835 FALSE ""
500 5769 105 0.384323305735375 0.0722950663917657 FALSE ""
50 260 106 0.449464666322214 0.0380964152035955 FALSE ""
1000 3297 107 0.323285564033764 0.158085185365278 FALSE ""
100 6903 108 0.395321331406051 -0.0931575441031108 FALSE ""
100 8772 109 0.456817600315867 -0.0722160457954209 FALSE ""
