"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
150 435 1 0.3822300754329 0.0785912221333522 FALSE ""
200 109 2 0.324751636026529 0.106610404578944 FALSE ""
200 384 3 0.359011356521572 0.0459268414578967 FALSE ""
150 206 4 0.361923768685853 0.00942370853545592 FALSE ""
300 713 5 0.278183576680321 0.181373527198745 FALSE ""
200 348 6 0.373294010326183 0.00340956749459807 FALSE ""
250 780 7 0.285032333450842 0.227055523932573 FALSE ""
250 734 8 0.290771305257574 0.169385701269796 FALSE ""
100 742 9 0.265874163437899 0.137984785347253 FALSE ""
150 994 10 0.364224190672003 0.0600009083882423 FALSE ""
200 528 11 0.423900984817658 -0.0807439725429668 FALSE ""
100 205 12 0.288343383712166 -0.0190066913672404 FALSE ""
150 826 13 0.315699968423616 0.0987988220449537 FALSE ""
300 279 14 0.274946717475735 0.115921504715206 FALSE ""
250 465 15 0.337497814944592 0.0459954301134966 FALSE ""
50 306 16 0.234011483733503 0.406528399032988 FALSE ""
100 551 17 0.4131260094618 -0.0746986609207473 FALSE ""
250 641 18 0.385378750684567 0.0848893611862351 FALSE ""
100 310 19 0.372811259304571 0.0156965601420398 FALSE ""
250 546 20 0.382551591864815 0.028560940966598 FALSE ""
200 880 21 0.339206811534833 0.112631571535482 FALSE ""
50 333 22 0.161012950138567 0.443505072716627 FALSE ""
100 311 23 0.324221502052314 0.182384482807544 FALSE ""
300 661 24 0.365756522403985 0.064005805380353 FALSE ""
150 761 25 0.297367994086807 0.187478021323896 FALSE ""
50 762 26 0.165297492414432 0.38989096917487 FALSE ""
300 860 27 0.222842367298168 0.26315761131682 FALSE ""
300 271 28 0.280681291494131 0.233705487934169 FALSE ""
200 293 29 0.315403007819958 0.240776096590032 FALSE ""
200 421 30 0.355733334730405 0.00472203194628017 FALSE ""
150 521 31 0.343263915888097 0.199594168940024 FALSE ""
300 989 32 0.303559113804788 0.16080865336469 FALSE ""
100 1000 33 0.409327695068409 0.104203960590656 FALSE ""
150 946 34 0.470871250698475 -0.142424207944766 FALSE ""
50 365 35 0.267531971225281 0.143219642812107 FALSE ""
200 198 36 0.333855347590309 0.0824797607065369 FALSE ""
300 573 37 0.343477115723136 0.0779673863191852 FALSE ""
300 951 38 0.277529887710383 0.175064403613862 FALSE ""
300 422 39 0.225191328176832 0.229869724604583 FALSE ""
300 815 40 0.308777522563418 0.147858405101999 FALSE ""
50 639 41 0.410148776522872 0.101185396227117 FALSE ""
200 90 42 0.425849608259267 -0.000774094296019008 FALSE ""
200 832 43 0.328148195424695 0.181780927157579 FALSE ""
100 439 44 0.259354225188112 0.239000465517767 FALSE ""
300 294 45 0.311217187380434 0.0779679077917449 FALSE ""
150 943 46 0.256846236110344 0.256933329414908 FALSE ""
250 850 47 0.378273255506303 0.0614995687412333 FALSE ""
300 401 48 0.331156996236805 0.0763660087569051 FALSE ""
250 816 49 0.286541892352299 0.199558468035972 FALSE ""
150 454 50 0.298289907776728 0.252568691020611 FALSE ""
50 548 51 0.222503164547281 0.144332534896768 FALSE ""
100 959 52 0.318026456166092 0.168023982007801 FALSE ""
100 15 53 0.287391946878664 0.140263207324917 FALSE ""
100 65 54 0.333368304582214 0.160805727703182 FALSE ""
100 888 55 0.41636748022381 -0.0836828122541727 FALSE ""
300 257 56 0.335981790449335 0.0533460109309174 FALSE ""
50 727 57 0.322686677181792 -0.00413399068582693 FALSE ""
200 746 58 0.291561933844748 0.109873325903299 FALSE ""
100 887 59 0.386557769303866 0.0381205200698926 FALSE ""
250 409 60 0.269604193914268 0.181385482836591 FALSE ""
50 829 61 0.30611662326099 0.204889229446553 FALSE ""
200 591 62 0.364516586269405 -0.00490416210686692 FALSE ""
50 244 63 0.278434239349446 0.244978936118173 FALSE ""
300 1 64 0.371078853882907 -0.0303105286882318 FALSE ""
300 727 65 0.287365474807364 0.211192244817343 FALSE ""
50 266 66 0.479446910930291 -0.0402978739213772 FALSE ""
50 537 67 0.57775422889312 -0.262611422621528 FALSE ""
150 606 68 0.306846209952828 0.123882244507553 FALSE ""
200 767 69 0.345230253838206 0.0585891835506245 FALSE ""
200 839 70 0.441614082658162 -0.127161903759339 FALSE ""
100 296 71 0.409468743590828 -0.0456722288499114 FALSE ""
250 280 72 0.308227035620069 0.155193231425694 FALSE ""
50 707 73 0.245521398084284 -0.0155347703126297 FALSE ""
100 404 74 0.327999819160894 0.156568636673202 FALSE ""
150 985 75 0.323260983802288 0.120544511315974 FALSE ""
50 247 76 0.374799811232802 -0.0919529859433819 FALSE ""
300 198 77 0.402085732682276 -0.0220365724083327 FALSE ""
250 852 78 0.303350818633061 0.290594096071369 FALSE ""
300 971 79 0.284571525988129 0.173645060936051 FALSE ""
250 800 80 0.358685342668282 0.0237197752614096 FALSE ""
150 220 81 0.23610800295437 0.315588114301505 FALSE ""
250 577 82 0.305217382901682 0.150282775810571 FALSE ""
200 354 83 0.290729579514715 0.108402132037866 FALSE ""
50 835 84 0.276132417805163 0.15849604180949 FALSE ""
100 686 85 0.332606813903181 0.0316618157250766 FALSE ""
250 411 86 0.389567939828704 0.00422173360897328 FALSE ""
200 692 87 0.335954954543597 0.134859395782954 FALSE ""
300 838 88 0.346216857091002 0.0633358753199322 FALSE ""
150 119 89 0.396365942360234 0.0381907779933405 FALSE ""
50 913 90 0.232543611015812 0.2532231608282 FALSE ""
50 293 91 0.507483326704461 -0.152478798058357 FALSE ""
300 268 92 0.319725663115841 0.0668091374663751 FALSE ""
300 29 93 0.363242364561486 0.141755395120161 FALSE ""
50 714 94 0.406867921602153 0.0877223019253103 FALSE ""
300 459 95 0.347712156773298 0.0987790145188759 FALSE ""
100 999 96 0.226852353629302 0.249032234633873 FALSE ""
50 648 97 0.363066395521574 0.0982668001092435 FALSE ""
250 164 98 0.407357962793076 0.0521677659391516 FALSE ""
150 453 99 0.293756643607441 0.235896611482093 FALSE ""
200 343 100 0.358364836592172 0.067794311398511 FALSE ""
150 472 101 0.296430484176234 0.205927364505402 FALSE ""
150 296 102 0.312413570007578 0.191519465190233 FALSE ""
150 270 103 0.458074810631924 -0.1409196480726 FALSE ""
250 547 104 0.366700224093575 0.0609363232129119 FALSE ""
100 465 105 0.254870571012291 0.25754604825511 FALSE ""
150 934 106 0.317619074571483 0.199886718592914 FALSE ""
50 814 107 0.287447998698494 0.394299567374086 FALSE ""
150 575 108 0.327728262243451 0.149396285321532 FALSE ""
50 446 109 0.122973187494565 0.549185568878766 FALSE ""
50 798 110 0.30368773107373 0.163198818102874 FALSE ""
100 630 111 0.159020604291341 0.399397411321527 FALSE ""
300 924 112 0.312450383253939 0.110408114527688 FALSE ""
200 492 113 0.304609034959476 0.109593234033089 FALSE ""
250 860 114 0.396798767019921 0.00586165702579612 FALSE ""
250 686 115 0.278399939546457 0.258788259561084 FALSE ""
150 769 116 0.307625321221688 0.254397529668077 FALSE ""
100 22 117 0.293729584463794 0.243834497579237 FALSE ""
150 389 118 0.304223330455114 0.115203203070242 FALSE ""
100 406 119 0.444773105625686 -0.110306639697998 FALSE ""
150 380 120 0.326413859450495 0.0945733684472174 FALSE ""
250 549 121 0.34243288386469 0.0725763496409043 FALSE ""
250 918 122 0.460155889939441 -0.0811338167362734 FALSE ""
50 273 123 0.440807874764992 -0.0274645439810202 FALSE ""
200 975 124 0.316029887784645 0.135656300328032 FALSE ""
250 493 125 0.304499924881538 0.171351255935761 FALSE ""
100 264 126 0.358123468725792 0.0105340966768515 FALSE ""
200 737 127 0.338157640668656 0.172516007887007 FALSE ""
150 508 128 0.387915321553525 -0.117072459162001 FALSE ""
250 719 129 0.329360568740164 0.0857661972047084 FALSE ""
150 244 130 0.3697143350083 -0.0258319205020745 FALSE ""
150 106 131 0.45168857262581 -0.100924565254619 FALSE ""
150 393 132 0.278994293782661 0.118167307188349 FALSE ""
100 297 133 0.448423520609338 -0.0985510100824068 FALSE ""
100 201 134 0.233922913772631 0.22562362812119 FALSE ""
150 110 135 0.277809391163871 0.195279020826922 FALSE ""
300 783 136 0.335183213571926 0.132004220807905 FALSE ""
300 743 137 0.340288348040105 0.0788124440604384 FALSE ""
300 945 138 0.331887310630777 0.0633986583339556 FALSE ""
300 979 139 0.327265913950458 0.0840872174792491 FALSE ""
100 165 140 0.357411243565853 0.137604751915151 FALSE ""
250 416 141 0.341461587455563 0.119095191409867 FALSE ""
250 814 142 0.31556026516934 0.154814249425921 FALSE ""
100 333 143 0.248169989861044 0.230930629736569 FALSE ""
100 485 144 0.242070002435176 0.284755172065696 FALSE ""
200 347 145 0.34873456685546 0.137861437428545 FALSE ""
300 678 146 0.385102741259796 0.0332931860170847 FALSE ""
300 109 147 0.367408017404036 0.0591697395355765 FALSE ""
50 373 148 0.540977118520921 -0.121795083494251 FALSE ""
50 320 149 0.297194154396656 0.0588104720261721 FALSE ""
100 786 150 0.356901552437953 -0.0570963956025827 FALSE ""
100 417 151 0.328501227104396 0.123272396096119 FALSE ""
100 8 152 0.38614624139466 -0.0933985917435385 FALSE ""
250 974 153 0.369888349438386 -0.0235435409596235 FALSE ""
200 854 154 0.472232856528116 -0.114996733131242 FALSE ""
100 569 155 0.395685572071546 0.0770544147750347 FALSE ""
100 274 156 0.420976148066188 -0.0712440005303204 FALSE ""
50 208 157 0.30212648734689 0.398233571553993 FALSE ""
200 345 158 0.392025364094168 -0.0422750463916731 FALSE ""
300 315 159 0.312390677601372 0.200304748929194 FALSE ""
300 11 160 0.326248834216115 0.0575406203495614 FALSE ""
150 171 161 0.330063380190219 0.199630887833245 FALSE ""
50 738 162 0.359679472814402 0.161589755910306 FALSE ""
300 668 163 0.385014306497253 0.100707573446228 FALSE ""
150 74 164 0.44685420046383 -0.0900396363377039 FALSE ""
300 542 165 0.353290304041272 0.048652625232314 FALSE ""
150 907 166 0.298214724378215 0.288637197322878 FALSE ""
300 596 167 0.380571836054409 0.0276797895839346 FALSE ""
200 208 168 0.314175394835139 0.0199689912986142 FALSE ""
250 613 169 0.360189708713225 0.0423189827084813 FALSE ""
200 105 170 0.347401291369893 -0.0151917121822157 FALSE ""
50 420 171 0.301374242878175 0.316086369988719 FALSE ""
300 409 172 0.327363652218261 0.082842180058903 FALSE ""
300 246 173 0.288644059377884 0.194606899336445 FALSE ""
100 773 174 0.334551242955302 -0.00861577034285446 FALSE ""
150 335 175 0.195616185676644 0.239517463625766 FALSE ""
200 202 176 0.441361998389427 -0.11401895847723 FALSE ""
50 693 177 0.510797775419817 -0.235043351210271 FALSE ""
150 940 178 0.27065195017783 0.250673538535815 FALSE ""
50 578 179 0.477545882643743 0.08729776993512 FALSE ""
250 66 180 0.296473621205816 0.15380547573315 FALSE ""
200 892 181 0.354761680696737 0.0572868244310913 FALSE ""
50 527 182 0.232417692759568 0.221698079697729 FALSE ""
150 889 183 0.423840201236651 -0.0219852340512887 FALSE ""
50 511 184 0.0838030630215616 0.723530172544429 FALSE ""
300 211 185 0.328511987229399 0.0381695864255652 FALSE ""
300 162 186 0.251257904777427 0.173758629146974 FALSE ""
200 728 187 0.302117503228201 0.113061145717433 FALSE ""
200 992 188 0.272757229377662 0.211724014756943 FALSE ""
50 413 189 0.30225802715118 0.22022853453993 FALSE ""
200 878 190 0.351936085375222 0.107694903038892 FALSE ""
50 97 191 0.223049226785294 0.10737904321649 FALSE ""
300 873 192 0.298267097598286 0.076879428803084 FALSE ""
150 612 193 0.350076662904614 0.0938889695668202 FALSE ""
300 721 194 0.311933387319382 0.0839079502897799 FALSE ""
250 726 195 0.314130374847837 0.0527360220856021 FALSE ""
250 89 196 0.33538434254638 0.133607545911132 FALSE ""
250 592 197 0.335208557475488 0.15476335259027 FALSE ""
250 998 198 0.32025698200509 0.0884522399306103 FALSE ""
300 56 199 0.301589867994183 0.124005288580966 FALSE ""
150 576 200 0.225335002855686 0.1803143892527 FALSE ""
200 29 201 0.360429247943421 0.0237986238949654 FALSE ""
300 385 202 0.378266215603458 0.0431471212016968 FALSE ""
50 385 203 0.345044586835687 0.0824847801308442 FALSE ""
150 775 204 0.324763675674677 0.0967285662831546 FALSE ""
100 873 205 0.404203192669952 0.0789258038742543 FALSE ""
200 928 206 0.431724640738363 -0.0314259223802697 FALSE ""
100 747 207 0.268879679270457 0.124861740944707 FALSE ""
200 875 208 0.28203693795797 0.169700961692346 FALSE ""
250 74 209 0.318604568490407 0.14012739432815 FALSE ""
100 67 210 0.412424976511673 -0.192175714333698 FALSE ""
200 940 211 0.405539592204244 -0.13047956481186 FALSE ""
100 323 212 0.442018810233788 0.0475472430305977 FALSE ""
300 223 213 0.292743458190212 0.182104946029671 FALSE ""
200 991 214 0.447468512435982 -0.0547961139239906 FALSE ""
250 644 215 0.298778120226511 0.229314268168506 FALSE ""
200 530 216 0.281805606252272 0.148787314381122 FALSE ""
250 764 217 0.205829064600919 0.331063328635787 FALSE ""
300 468 218 0.291708385053559 0.171114147533571 FALSE ""
50 335 219 0.528051930651237 -0.344306154640533 FALSE ""
150 198 220 0.316134559533484 0.0923533150951167 FALSE ""
300 41 221 0.311466819462616 0.123849444493645 FALSE ""
150 11 222 0.223692803824459 0.290780452134766 FALSE ""
50 839 223 0.337705373835387 0.147675755115505 FALSE ""
150 849 224 0.275083494283346 0.257495046191853 FALSE ""
50 611 225 0.260980616009406 0.2926251858811 FALSE ""
250 526 226 0.347795802759271 0.0801332088873722 FALSE ""
50 467 227 0.398282083104449 0.000285457957957594 FALSE ""
250 991 228 0.382582992252305 -0.00560468846727578 FALSE ""
300 2 229 0.246973713238391 0.296394799907443 FALSE ""
100 53 230 0.362927703357326 -0.100119848375299 FALSE ""
300 123 231 0.296560593839328 0.0962104857816444 FALSE ""
100 714 232 0.251338564448432 0.194707847622528 FALSE ""
250 36 233 0.263984051922609 0.237557781040284 FALSE ""
50 234 234 0.524694255558918 -0.322432357920053 FALSE ""
150 513 235 0.366237670045975 0.0880157580407138 FALSE ""
50 430 236 0.150628083860422 0.375689834829208 FALSE ""
100 359 237 0.25007761088816 0.251415666395441 FALSE ""
100 383 238 0.411702281830187 0.116295447662561 FALSE ""
100 560 239 0.362361238528359 0.0057580296772106 FALSE ""
150 812 240 0.243257902688039 0.128231911378688 FALSE ""
100 639 241 0.235303733015972 0.0913061475166765 FALSE ""
300 207 242 0.378246056846681 0.0604923039437346 FALSE ""
100 623 243 0.234327703637876 0.256916137682806 FALSE ""
300 235 244 0.246248124143986 0.217227485595068 FALSE ""
300 267 245 0.343516489354107 0.063354980087683 FALSE ""
150 467 246 0.413259034599826 -0.0442549262334044 FALSE ""
200 985 247 0.204613863536115 0.329596716766944 FALSE ""
300 157 248 0.369891162299144 -0.0368143982071861 FALSE ""
200 453 249 0.317564257661013 0.13661955413606 FALSE ""
300 562 250 0.390777378645261 0.0162849789040235 FALSE ""
50 46 251 0.29122524745334 0.176325003414806 FALSE ""
50 301 252 0.303320520624535 0.104097077642484 FALSE ""
50 441 253 0.317224528833497 0.207095542715136 FALSE ""
100 453 254 0.391443008262719 -0.0550134761200301 FALSE ""
100 504 255 0.325333185109343 0.191389534378969 FALSE ""
300 177 256 0.328404502340432 0.0297359026957988 FALSE ""
100 998 257 0.30940859308764 0.11317184020621 FALSE ""
250 718 258 0.287599123053791 0.187208686871741 FALSE ""
50 994 259 0.31103694510309 0.101962277612278 FALSE ""
300 766 260 0.292730221772888 0.184401977006772 FALSE ""
250 929 261 0.228038776537028 0.255351594645231 FALSE ""
150 129 262 0.311190409545042 0.225460433023244 FALSE ""
300 214 263 0.320320714031627 0.138257804499529 FALSE ""
250 334 264 0.301379259705181 0.129763701486422 FALSE ""
200 619 265 0.299014338022979 0.204310201265748 FALSE ""
100 321 266 0.259095200482141 0.0754302001188616 FALSE ""
200 884 267 0.35032438166259 0.0818619147053931 FALSE ""
300 430 268 0.312983508359511 0.16871461420605 FALSE ""
50 866 269 0.310807640041486 0.131574110064975 FALSE ""
150 733 270 0.318754950873174 0.0932578664546536 FALSE ""
150 446 271 0.42686689316005 -0.027797684690932 FALSE ""
50 257 272 0.321600983755277 0.156652586390655 FALSE ""
200 154 273 0.390413464194753 -0.0218590625750326 FALSE ""
300 185 274 0.333655576594439 0.0506275218507896 FALSE ""
250 604 275 0.259682582353763 0.209329675367387 FALSE ""
200 958 276 0.265788291327801 0.137738828228834 FALSE ""
100 669 277 0.220991514878083 0.236357024026339 FALSE ""
50 254 278 0.346171983604631 0.123214359770818 FALSE ""
150 217 279 0.478379328434706 -0.0591395039983618 FALSE ""
250 681 280 0.200622741187684 0.281788589403106 FALSE ""
200 386 281 0.256220841415733 0.22600192130792 FALSE ""
50 747 282 0.206762835190743 0.334152855915538 FALSE ""
100 356 283 0.361401144204651 0.030732017131165 FALSE ""
150 891 284 0.323172093252836 0.182169632988583 FALSE ""
300 191 285 0.367424930969385 0.0502979371027309 FALSE ""
100 916 286 0.341725259212075 0.170801560127029 FALSE ""
300 360 287 0.440758410298451 -0.0644501363171405 FALSE ""
100 707 288 0.359969730782617 0.203952457422697 FALSE ""
250 655 289 0.298494955282514 0.0747849082262881 FALSE ""
50 115 290 0.300965338828383 0.202260295334754 FALSE ""
150 63 291 0.402486914231708 0.0524985987634705 FALSE ""
100 279 292 0.277056653432954 0.152246616765447 FALSE ""
250 636 293 0.219874059035702 0.288597271249591 FALSE ""
200 292 294 0.324204408851907 0.11215923267284 FALSE ""
250 304 295 0.342453814389099 0.0864901473447382 FALSE ""
200 576 296 0.32932774377514 0.113370376576124 FALSE ""
200 673 297 0.253357261869688 0.244324958023925 FALSE ""
100 617 298 0.258073375176462 0.20453908734413 FALSE ""
100 572 299 0.283897066517226 0.208211059858589 FALSE ""
150 480 300 0.362107158497062 0.0452294669016712 FALSE ""
200 114 301 0.060206517129145 0.518504233740353 FALSE ""
300 867 302 0.297785560272818 0.251315618245224 FALSE ""
50 444 303 0.298579965657285 -0.01859921053473 FALSE ""
150 603 304 0.410771706496782 0.0254574507828362 FALSE ""
50 952 305 0.162081657137373 0.514175976303009 FALSE ""
150 518 306 0.274034823751184 0.191619296609534 FALSE ""
50 768 307 0.449029979971128 -0.172345728617482 FALSE ""
250 524 308 0.321743396584154 0.189685193683809 FALSE ""
300 236 309 0.321492103715262 0.0735712037555208 FALSE ""
100 775 310 0.321037825246976 0.103900291414048 FALSE ""
100 780 311 0.328940819846506 0.302604739167291 FALSE ""
100 989 312 0.409613690260827 -0.0145134449468122 FALSE ""
200 234 313 0.369065455857602 0.00637779154165968 FALSE ""
250 10 314 0.226427605624207 0.228185197100902 FALSE ""
150 727 315 0.419124675965907 -0.121500807355801 FALSE ""
300 483 316 0.226138015244952 0.183011909279446 FALSE ""
100 521 317 0.0945073520570069 0.5847532552584 FALSE ""
200 642 318 0.298962312583629 0.109629962085192 FALSE ""
200 687 319 0.307521300025222 0.138218649224964 FALSE ""
100 204 320 0.181397963499958 0.327777011572496 FALSE ""
100 230 321 0.238730065031033 0.239096728504837 FALSE ""
150 981 322 0.134167984615809 0.372729294379061 FALSE ""
300 571 323 0.306964570978114 0.144123633004523 FALSE ""
200 733 324 0.373220124502571 -0.00502721284086509 FALSE ""
200 316 325 0.391825409671482 0.0605837728510498 FALSE ""
200 89 326 0.476172650375768 -0.138058344601788 FALSE ""
250 771 327 0.330978997332305 0.142196778488734 FALSE ""
50 938 328 0.275566806986832 0.213170061937041 FALSE ""
50 361 329 0.333718056856035 -0.0190863952194201 FALSE ""
150 563 330 0.238711278009371 0.151065396491844 FALSE ""
50 307 331 0.319771873005876 0.265786732600839 FALSE ""
250 585 332 0.305424482126796 0.161747600692366 FALSE ""
250 72 333 0.269773105111237 0.151469756380313 FALSE ""
300 984 334 0.25589869923548 0.189705220542239 FALSE ""
250 25 335 0.304053049407871 0.143361137655257 FALSE ""
250 778 336 0.393001136804512 0.0572063954972831 FALSE ""
50 562 337 0.342141507290138 0.0558648571975436 FALSE ""
250 21 338 0.253071772294251 0.240190660324304 FALSE ""
300 797 339 0.316102644729254 0.168862799053451 FALSE ""
250 221 340 0.371616290500049 0.0810068601203654 FALSE ""
50 642 341 0.123231043458377 0.42500412626986 FALSE ""
200 509 342 0.302502455431976 0.0982189677127831 FALSE ""
200 128 343 0.293104027696273 0.184225446873321 FALSE ""
300 5 344 0.286737349387339 0.140233905683572 FALSE ""
300 260 345 0.408225677703731 0.0322926152867768 FALSE ""
