"n" "rep" "id" "beta_0_hat" "beta_1_hat" "error" "errorMessage"
50 383 1 0.40174626162462 0.0117683540787914 FALSE ""
200 895 2 0.345661127411566 0.107988983789058 FALSE ""
100 901 3 0.266852575480388 0.121802624069064 FALSE ""
50 749 4 0.516613391541855 -0.114426709347594 FALSE ""
100 301 5 0.424223190337346 -0.00374627239610145 FALSE ""
50 493 6 0.309256020342592 0.150612319678597 FALSE ""
100 423 7 0.376415898787162 -0.00326192720681126 FALSE ""
30 590 8 0.393637527045014 0.0102207864590589 FALSE ""
50 55 9 0.369033342718944 0.0458204686012634 FALSE ""
200 120 10 0.408750238775354 -0.0647254556373851 FALSE ""
30 540 11 0.404091860191117 0.0460814438365229 FALSE ""
200 749 12 0.310406458326966 0.160960522055417 FALSE ""
30 898 13 0.399314202619823 -0.148400058848443 FALSE ""
100 714 14 0.354149136605184 0.0446915966238155 FALSE ""
200 803 15 0.372601921681044 0.0468230813558434 FALSE ""
100 525 16 0.289468638005753 0.229925784321342 FALSE ""
50 298 17 0.359776391257463 -0.119341319773557 FALSE ""
200 317 18 0.335465781630678 0.139341012687543 FALSE ""
100 114 19 0.395716423347459 0.00876299565412253 FALSE ""
200 859 20 0.261087403956559 0.207931835619635 FALSE ""
200 846 21 0.315559767899953 0.108653366520135 FALSE ""
100 313 22 0.401704580359974 0.00882874037535652 FALSE ""
50 98 23 0.425956940536495 -0.00622815973523674 FALSE ""
50 385 24 0.395542694585524 -0.0978826354690988 FALSE ""
30 995 25 0.244732530620387 0.0899187717868253 FALSE ""
200 86 26 0.308444739807109 0.216778013907956 FALSE ""
200 358 27 0.329768487151915 0.0732107848213678 FALSE ""
30 868 28 0.167889689449518 0.540246735420872 FALSE ""
50 854 29 0.250993722046991 0.274243967813944 FALSE ""
50 948 30 0.321219509749974 0.149368723664084 FALSE ""
30 997 31 0.386822420680519 -0.300220470848814 FALSE ""
100 410 32 0.209419904595982 0.229781152603067 FALSE ""
100 569 33 0.199699836481032 0.224967493062782 FALSE ""
30 304 34 0.336254415456338 0.0466880629485702 FALSE ""
200 909 35 0.189745955414219 0.377186046481778 FALSE ""
200 169 36 0.300133590114917 0.145240775110275 FALSE ""
100 123 37 0.133915383068664 0.452785675692408 FALSE ""
100 617 38 0.394132333271025 -0.0368310426145673 FALSE ""
50 285 39 0.219821733075649 0.123071609159257 FALSE ""
50 543 40 0.268936634978251 0.220250502266303 FALSE ""
100 204 41 0.251622150786433 0.103386381466148 FALSE ""
200 973 42 0.387631093521415 0.0687771812159224 FALSE ""
200 887 43 0.35578277999846 0.0515548880961535 FALSE ""
30 418 44 0.0801002473298159 0.466810759872923 FALSE ""
100 451 45 0.2658452632535 0.202945539909718 FALSE ""
30 98 46 0.260365211296927 0.0275810304981177 FALSE ""
200 597 47 0.23265278531662 0.265265825641179 FALSE ""
50 655 48 0.438766226809345 -0.132812418091021 FALSE ""
50 738 49 0.222187117642789 0.172619205491574 FALSE ""
100 55 50 0.385900384654849 -0.0165114641414065 FALSE ""
30 845 51 0.00369467143950196 0.610766486882547 FALSE ""
30 240 52 0.336780352607239 0.0146191610623175 FALSE ""
200 703 53 0.306988996561547 0.146098084173644 FALSE ""
30 330 54 0.491671889534369 -0.092529488926906 FALSE ""
100 151 55 0.425418310651244 0.113667833631025 FALSE ""
30 87 56 0.0630989633421704 0.576485909438744 FALSE ""
200 25 57 0.303680034559455 0.146167482078086 FALSE ""
50 992 58 0.502662322384453 -0.0746872162863619 FALSE ""
50 267 59 0.41662855709842 -0.167450756877548 FALSE ""
200 579 60 0.232287615931399 0.20400670669682 FALSE ""
200 641 61 0.266696100339128 0.0955138281749187 FALSE ""
30 272 62 0.520957014668056 -0.365199043230892 FALSE ""
50 709 63 0.0683382889796173 0.452634995375895 FALSE ""
50 806 64 0.211701818921325 0.241804416590984 FALSE ""
100 769 65 0.350391710115392 0.135558475700982 FALSE ""
30 120 66 0.201798613696263 0.352546459903834 FALSE ""
30 187 67 0.599943816120319 -0.17132390900385 FALSE ""
100 395 68 0.35552251883981 -0.0899257545266962 FALSE ""
100 164 69 0.28971213486511 0.12803142537174 FALSE ""
50 847 70 0.0953695240816657 0.420794020357534 FALSE ""
100 425 71 0.314357955730516 0.194832056600916 FALSE ""
50 18 72 0.419837517097385 0.102548751905709 FALSE ""
30 322 73 0.457840366410131 -0.270873085918022 FALSE ""
50 338 74 0.264816812750192 0.253132091619265 FALSE ""
50 327 75 0.562100044066745 -0.253881531401316 FALSE ""
200 84 76 0.233059702653225 0.215854584167317 FALSE ""
100 644 77 0.293835149125047 0.120235779160302 FALSE ""
200 978 78 0.426400844077959 -0.0131197158197922 FALSE ""
50 426 79 0.253729326247655 0.220270698215844 FALSE ""
50 921 80 0.379411740423066 -0.000853264791562077 FALSE ""
50 978 81 0.297692462536517 0.133788463113624 FALSE ""
100 529 82 0.396017545691809 -0.0836634559207031 FALSE ""
200 249 83 0.297488032118376 0.113636718623924 FALSE ""
50 943 84 0.342188246553427 0.05032600515706 FALSE ""
30 782 85 0.431909762821348 -0.150619646842956 FALSE ""
30 228 86 0.32539362042635 -0.09232199232212 FALSE ""
30 393 87 0.510787906108645 -0.239156170281595 FALSE ""
50 516 88 0.386493446152329 -0.0384361715484432 FALSE ""
200 298 89 0.301133797830843 0.181655235576803 FALSE ""
100 452 90 0.351917295559558 0.1134100454122 FALSE ""
100 330 91 0.358600559754431 -0.0453053962801938 FALSE ""
100 532 92 0.243062905364764 0.148934871759518 FALSE ""
200 679 93 0.38882639553906 -0.0647755180025529 FALSE ""
30 96 94 0.336716682958191 0.133138470934166 FALSE ""
200 742 95 0.423536572599062 -0.0716014993043771 FALSE ""
50 401 96 0.499626989728441 -0.0860931362336961 FALSE ""
100 964 97 0.273644402999562 0.131469159781976 FALSE ""
100 84 98 0.306720302012693 -0.0239413218939122 FALSE ""
100 102 99 0.275385491542926 0.375819474601958 FALSE ""
200 270 100 0.308759963760078 0.199999180561913 FALSE ""
30 421 101 0.380625285038348 0.0238157624033836 FALSE ""
50 250 102 0.277398420631611 0.201770557672475 FALSE ""
30 789 103 0.572316611514809 -0.198524734175281 FALSE ""
