"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
500 2 542 1 2.04334593800799 FALSE ""
100 1 71 2 1.03859254077363 FALSE ""
50 0.5 548 3 0.519601004287799 FALSE ""
500 1 518 4 0.993776482701714 FALSE ""
1000 1 507 5 0.999428090605764 FALSE ""
500 2 813 6 2.00799157486567 FALSE ""
500 0.5 721 7 0.502641529407286 FALSE ""
1000 1 660 8 1.00855852868591 FALSE ""
100 1 653 9 0.968150130705986 FALSE ""
500 2 882 10 2.02437780515113 FALSE ""
1000 2 773 11 2.03517779655169 FALSE ""
100 0.25 424 12 0.255596023914075 FALSE ""
50 0.25 136 13 0.268804501157761 FALSE ""
50 1 935 14 0.961613582010054 FALSE ""
1000 0.5 752 15 0.507344385544704 FALSE ""
50 0.25 334 16 0.261767065476979 FALSE ""
500 0.25 11 17 0.247053268958719 FALSE ""
500 0.25 917 18 0.253865740561314 FALSE ""
500 2 514 19 2.00456685005558 FALSE ""
500 0.5 315 20 0.512885773139214 FALSE ""
100 0.25 946 21 0.245701687456776 FALSE ""
100 0.25 385 22 0.256579334574185 FALSE ""
500 0.5 543 23 0.508592143116155 FALSE ""
100 1 851 24 1.01825537676002 FALSE ""
100 0.25 176 25 0.230001275000388 FALSE ""
500 0.25 918 26 0.250975747664496 FALSE ""
50 0.5 2 27 0.47174733903486 FALSE ""
50 0.25 42 28 0.214678661363753 FALSE ""
100 2 351 29 2.07019719189344 FALSE ""
500 1 919 30 0.988366050145395 FALSE ""
500 1 610 31 0.976477308042303 FALSE ""
100 0.5 192 32 0.510106277911066 FALSE ""
500 1 363 33 0.97850849575504 FALSE ""
100 2 927 34 1.91690362320427 FALSE ""
1000 1 831 35 0.989970406665022 FALSE ""
500 0.25 629 36 0.251345712726282 FALSE ""
500 2 747 37 2.08206806688547 FALSE ""
100 1 909 38 0.996931261356798 FALSE ""
100 1 140 39 0.949183053045828 FALSE ""
1000 0.25 806 40 0.252099318633926 FALSE ""
50 0.5 580 41 0.523560909413902 FALSE ""
50 2 899 42 2.01693382516758 FALSE ""
100 1 164 43 0.979977416913556 FALSE ""
500 0.25 716 44 0.256223728859227 FALSE ""
50 0.5 841 45 0.573866414515858 FALSE ""
50 1 579 46 1.01311099963775 FALSE ""
500 0.25 460 47 0.257227878251209 FALSE ""
100 1 869 48 0.997384587656688 FALSE ""
1000 0.25 54 49 0.253533800299287 FALSE ""
500 1 137 50 1.00741217209035 FALSE ""
1000 0.5 649 51 0.490528287287206 FALSE ""
1000 0.25 160 52 0.244123663475304 FALSE ""
500 0.5 148 53 0.496789556695215 FALSE ""
500 1 473 54 1.01536991822761 FALSE ""
100 1 240 55 1.03872597276736 FALSE ""
1000 1 539 56 1.00162869876681 FALSE ""
500 1 53 57 1.0312518999277 FALSE ""
500 0.5 699 58 0.496970905950425 FALSE ""
50 0.5 573 59 0.473303935541552 FALSE ""
50 0.5 401 60 0.536981954448023 FALSE ""
500 2 978 61 1.96936728911722 FALSE ""
50 0.5 494 62 0.524942558425593 FALSE ""
500 1 822 63 1.00297579671969 FALSE ""
1000 2 959 64 2.0172797384814 FALSE ""
1000 0.5 683 65 0.500371983089444 FALSE ""
500 0.25 619 66 0.250855244097598 FALSE ""
1000 1 467 67 0.998266633384448 FALSE ""
500 2 541 68 2.04078959180349 FALSE ""
500 1 227 69 0.982716230452722 FALSE ""
1000 0.25 622 70 0.247863171617196 FALSE ""
1000 0.25 83 71 0.248023479013702 FALSE ""
50 2 443 72 2.14248401797914 FALSE ""
1000 0.5 298 73 0.498246782613833 FALSE ""
100 0.5 892 74 0.525683164724893 FALSE ""
50 2 557 75 2.01506086099749 FALSE ""
50 0.5 881 76 0.461606443598958 FALSE ""
100 0.25 205 77 0.270524392603248 FALSE ""
50 0.25 578 78 0.226335435264845 FALSE ""
1000 2 116 79 2.00291740167455 FALSE ""
500 2 311 80 1.9777910949247 FALSE ""
1000 1 390 81 0.984456036301968 FALSE ""
100 2 567 82 1.97031504698811 FALSE ""
500 0.25 227 83 0.245318256964886 FALSE ""
50 0.25 697 84 0.249331774801102 FALSE ""
1000 1 131 85 0.992975076391847 FALSE ""
1000 1 945 86 1.01043414074379 FALSE ""
50 2 907 87 2.03837196413673 FALSE ""
100 0.25 458 88 0.252953552349618 FALSE ""
100 0.5 533 89 0.472410325309655 FALSE ""
50 1 523 90 0.964880890324753 FALSE ""
100 0.5 669 91 0.540769605551226 FALSE ""
1000 0.5 749 92 0.491571909848854 FALSE ""
50 1 751 93 1.02090962755608 FALSE ""
100 2 80 94 1.95833604188459 FALSE ""
500 2 798 95 1.99401781003153 FALSE ""
100 0.5 42 96 0.513501359918096 FALSE ""
50 1 190 97 1.00768102007206 FALSE ""
50 2 401 98 2.00055771379828 FALSE ""
100 1 354 99 0.999318343577533 FALSE ""
500 1 828 100 1.01340353396086 FALSE ""
100 1 546 101 1.00828306019993 FALSE ""
50 0.5 252 102 0.501651363838437 FALSE ""
1000 2 190 103 2.0082532168556 FALSE ""
100 0.5 790 104 0.520207898209355 FALSE ""
50 0.25 222 105 0.25707146434962 FALSE ""
1000 2 358 106 2.02549023137745 FALSE ""
100 1 460 107 0.997081579904334 FALSE ""
50 0.5 650 108 0.498536367498517 FALSE ""
1000 0.25 188 109 0.247672472138133 FALSE ""
50 0.5 6 110 0.511893547119139 FALSE ""
50 0.25 191 111 0.243681840546827 FALSE ""
1000 0.5 1 112 0.502099561826774 FALSE ""
50 1 533 113 1.00096564548717 FALSE ""
100 2 841 114 2.02517743090113 FALSE ""
500 0.5 493 115 0.497217863773368 FALSE ""
1000 1 415 116 0.996550786667703 FALSE ""
500 0.5 367 117 0.491169280130652 FALSE ""
50 0.5 490 118 0.528871690472102 FALSE ""
1000 2 50 119 2.03808552243497 FALSE ""
50 0.5 935 120 0.466408898463808 FALSE ""
500 2 484 121 1.92927555954471 FALSE ""
50 0.5 599 122 0.538542430978314 FALSE ""
1000 0.5 77 123 0.499890567239336 FALSE ""
500 0.5 701 124 0.502742640937283 FALSE ""
100 0.5 310 125 0.488932285215538 FALSE ""
100 0.25 123 126 0.24215208985139 FALSE ""
1000 0.25 155 127 0.243704653047383 FALSE ""
50 1 310 128 1.05769641787668 FALSE ""
100 2 892 129 1.94630917432373 FALSE ""
50 1 539 130 1.10756610410058 FALSE ""
500 0.25 233 131 0.252930508453594 FALSE ""
100 0.25 373 132 0.238657763709013 FALSE ""
50 0.25 803 133 0.243043768858569 FALSE ""
100 0.25 74 134 0.250610179247372 FALSE ""
500 2 450 135 1.9925666530114 FALSE ""
100 1 33 136 0.997191269969711 FALSE ""
50 1 511 137 1.07275184568908 FALSE ""
50 0.25 451 138 0.25537090256515 FALSE ""
1000 0.5 579 139 0.491174683117772 FALSE ""
1000 0.25 84 140 0.24952552480083 FALSE ""
1000 0.5 109 141 0.5118772685232 FALSE ""
50 0.25 650 142 0.259540817275911 FALSE ""
100 2 914 143 1.98136616449144 FALSE ""
100 2 539 144 1.98133698885183 FALSE ""
50 0.25 956 145 0.262447233877831 FALSE ""
100 2 390 146 1.97643123546502 FALSE ""
50 0.25 523 147 0.250213225132613 FALSE ""
50 2 993 148 1.86652363276279 FALSE ""
1000 1 8 149 0.988524332770931 FALSE ""
50 1 862 150 1.0169857913723 FALSE ""
500 1 564 151 0.997843395482894 FALSE ""
500 1 963 152 0.972014767332015 FALSE ""
500 0.5 697 153 0.499112831545307 FALSE ""
