"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
700 1 3882 1 0.991361247808861 FALSE ""
700 0.5 4251 2 0.490865798040365 FALSE ""
700 2 4597 3 2.00730288207483 FALSE ""
700 2 3823 4 1.96957743464975 FALSE ""
500 0.25 2511 5 0.251824105406576 FALSE ""
700 1 2635 6 0.98717405072171 FALSE ""
700 1 3632 7 0.998023961252746 FALSE ""
500 0.5 547 8 0.480887541747733 FALSE ""
500 0.25 518 9 0.244885611184626 FALSE ""
500 0.25 1230 10 0.250432941069246 FALSE ""
700 2 2091 11 1.97540531584086 FALSE ""
500 1 2368 12 1.01020388740717 FALSE ""
700 0.5 2261 13 0.500920487274877 FALSE ""
500 1 1161 14 0.985265282869851 FALSE ""
700 1 2053 15 1.00877156734028 FALSE ""
700 1 2355 16 0.994628679694752 FALSE ""
500 0.25 3321 17 0.254183152017379 FALSE ""
500 0.25 707 18 0.246006770606516 FALSE ""
500 0.25 2861 19 0.249295108259468 FALSE ""
700 0.5 401 20 0.506816708465089 FALSE ""
500 0.5 2062 21 0.500877204430787 FALSE ""
700 2 750 22 2.01986963170264 FALSE ""
500 1 3865 23 0.980027507759208 FALSE ""
700 0.5 3622 24 0.48344169980855 FALSE ""
700 0.25 2891 25 0.245803667203824 FALSE ""
500 1 2099 26 1.01626899713693 FALSE ""
700 0.25 2371 27 0.248192030142111 FALSE ""
700 1 188 28 1.00708988568233 FALSE ""
500 0.5 4084 29 0.494071464526819 FALSE ""
700 1 4306 30 0.976484576008239 FALSE ""
700 0.5 2837 31 0.498211649141912 FALSE ""
500 1 4077 32 1.00699176514723 FALSE ""
500 0.5 2948 33 0.515077208125335 FALSE ""
500 0.5 207 34 0.498528931934475 FALSE ""
500 0.25 3021 35 0.250940018526542 FALSE ""
500 0.5 1917 36 0.515899954081156 FALSE ""
700 0.5 1736 37 0.488895297261945 FALSE ""
700 2 4309 38 1.97520986030987 FALSE ""
500 0.25 624 39 0.248738203551849 FALSE ""
700 1 1516 40 0.995248290603068 FALSE ""
700 0.5 282 41 0.505449252166958 FALSE ""
700 0.25 3683 42 0.25062356567356 FALSE ""
700 1 4566 43 1.0216748476663 FALSE ""
500 2 3003 44 2.0592162665023 FALSE ""
700 0.5 3783 45 0.495744856191325 FALSE ""
700 0.25 4295 46 0.252099521300491 FALSE ""
500 0.25 2844 47 0.250712842787661 FALSE ""
700 1 2990 48 0.992162456998703 FALSE ""
500 2 279 49 2.00358844662021 FALSE ""
500 2 4308 50 2.0345973564125 FALSE ""
500 0.5 3855 51 0.516865725114112 FALSE ""
500 0.5 3389 52 0.515323054235198 FALSE ""
700 0.25 3714 53 0.250934582516712 FALSE ""
500 1 1423 54 0.997482704162869 FALSE ""
500 2 4613 55 1.97140795765723 FALSE ""
500 0.25 3108 56 0.248472353596789 FALSE ""
500 0.5 3992 57 0.495452487926661 FALSE ""
700 2 1545 58 2.02131016210152 FALSE ""
700 2 2914 59 2.00400826956803 FALSE ""
700 0.25 4166 60 0.248127565221517 FALSE ""
700 0.5 2469 61 0.501355396857746 FALSE ""
700 0.25 1159 62 0.251381305344687 FALSE ""
700 1 451 63 0.976170949720608 FALSE ""
500 2 1952 64 2.02097717401685 FALSE ""
500 1 3061 65 0.994273260944349 FALSE ""
500 1 4799 66 1.00977172877204 FALSE ""
700 2 167 67 2.04357978250123 FALSE ""
500 0.5 2564 68 0.500932044562641 FALSE ""
500 0.5 262 69 0.499717030163771 FALSE ""
700 1 3342 70 0.980833580009447 FALSE ""
700 0.25 3155 71 0.256724750172102 FALSE ""
500 1 433 72 0.987918603735996 FALSE ""
500 0.25 1836 73 0.241571092806169 FALSE ""
700 0.25 3098 74 0.251285006550659 FALSE ""
500 1 3437 75 1.01002211970343 FALSE ""
700 0.5 1047 76 0.504058768545494 FALSE ""
700 0.5 2318 77 0.502449395555332 FALSE ""
500 1 1579 78 0.996564639735196 FALSE ""
700 0.5 3348 79 0.482390016515894 FALSE ""
700 2 164 80 1.95735603768969 FALSE ""
500 0.5 4722 81 0.509695765781139 FALSE ""
500 1 715 82 1.02408773532371 FALSE ""
500 0.5 3197 83 0.502915952035131 FALSE ""
700 0.25 3184 84 0.258435331151537 FALSE ""
500 1 1075 85 0.989471189066746 FALSE ""
700 2 4298 86 1.99965682518046 FALSE ""
500 0.25 4044 87 0.255094956938539 FALSE ""
500 0.5 1946 88 0.511617510035199 FALSE ""
700 2 4204 89 2.00907946276911 FALSE ""
700 0.5 2151 90 0.498374893010162 FALSE ""
500 2 2019 91 2.0284097421958 FALSE ""
700 0.5 408 92 0.503986151925945 FALSE ""
500 0.5 4437 93 0.514174316941061 FALSE ""
700 2 2454 94 2.00845045370889 FALSE ""
700 0.25 2654 95 0.250904616533428 FALSE ""
500 2 1471 96 1.92271007836233 FALSE ""
500 1 1298 97 1.01102349178774 FALSE ""
500 0.25 1782 98 0.25575458338329 FALSE ""
700 2 2590 99 1.99040629246112 FALSE ""
500 1 4484 100 0.996973791709455 FALSE ""
700 0.25 4294 101 0.25311716112327 FALSE ""
700 0.5 1776 102 0.50545187424841 FALSE ""
500 0.25 1397 103 0.240162696934928 FALSE ""
700 0.25 3871 104 0.255128509542743 FALSE ""
700 0.25 3087 105 0.255319022199781 FALSE ""
700 2 2231 106 1.97224515024101 FALSE ""
700 1 4924 107 0.971484163120525 FALSE ""
500 0.5 2275 108 0.498762965433332 FALSE ""
500 0.5 2328 109 0.495455273660032 FALSE ""
500 0.5 3491 110 0.483403306013293 FALSE ""
500 1 3101 111 1.042540413803 FALSE ""
500 1 4381 112 0.985517505775261 FALSE ""
500 0.25 4834 113 0.25824734060119 FALSE ""
700 0.5 4266 114 0.496893346884081 FALSE ""
700 2 4958 115 1.99288960856095 FALSE ""
700 0.25 4555 116 0.251784931844853 FALSE ""
500 0.5 1475 117 0.499670973168725 FALSE ""
500 0.5 2349 118 0.50683057359162 FALSE ""
500 2 2620 119 1.94670623899517 FALSE ""
700 2 233 120 1.98747790335242 FALSE ""
700 0.5 155 121 0.496692142684562 FALSE ""
500 0.25 4058 122 0.246909768057997 FALSE ""
500 2 3741 123 2.01347799596587 FALSE ""
500 2 210 124 2.01372622943599 FALSE ""
500 0.5 2731 125 0.484188094500892 FALSE ""
500 2 875 126 1.97535560261203 FALSE ""
700 0.25 4909 127 0.253576719182133 FALSE ""
700 2 461 128 1.96929762450401 FALSE ""
500 0.25 2491 129 0.257215433811408 FALSE ""
700 0.25 710 130 0.25124669016931 FALSE ""
500 0.5 4503 131 0.504464090286957 FALSE ""
700 2 293 132 1.98912812357207 FALSE ""
700 2 3162 133 2.0362018519772 FALSE ""
700 2 1001 134 2.00916122422614 FALSE ""
700 2 4789 135 2.00718398238499 FALSE ""
700 1 3789 136 1.00310023274818 FALSE ""
700 1 986 137 0.988469321133883 FALSE ""
700 0.25 3670 138 0.256158830514499 FALSE ""
500 0.5 1463 139 0.514290049445478 FALSE ""
700 1 4919 140 0.968989610242313 FALSE ""
700 1 2848 141 0.979572215926806 FALSE ""
700 1 3700 142 1.00725257608606 FALSE ""
700 0.25 857 143 0.243556018909557 FALSE ""
500 1 110 144 1.00834494613976 FALSE ""
500 0.25 3700 145 0.246732854839546 FALSE ""
700 2 1927 146 2.04395333642084 FALSE ""
700 2 2794 147 1.99402991250372 FALSE ""
700 0.5 22 148 0.498565610390025 FALSE ""
500 0.5 3205 149 0.509630012336217 FALSE ""
500 0.25 3750 150 0.245233885982854 FALSE ""
700 0.25 1543 151 0.253414604717298 FALSE ""
500 0.5 4025 152 0.500003564053878 FALSE ""
500 2 3470 153 2.08859501626632 FALSE ""
500 1 3127 154 0.994590355563429 FALSE ""
700 1 4048 155 0.995233435425425 FALSE ""
700 0.5 2629 156 0.508121015126857 FALSE ""
500 2 1149 157 2.0526188499649 FALSE ""
500 1 899 158 1.00930790692372 FALSE ""
700 1 2512 159 0.993314913598131 FALSE ""
700 2 842 160 1.93756798527311 FALSE ""
500 0.25 3949 161 0.256702721700905 FALSE ""
700 1 27 162 0.989169527260797 FALSE ""
700 2 883 163 1.99285158679609 FALSE ""
500 0.5 4052 164 0.50732972472411 FALSE ""
500 0.25 1623 165 0.249270353346417 FALSE ""
500 1 3975 166 0.975251932072765 FALSE ""
500 2 1892 167 1.97081324504102 FALSE ""
700 0.5 1050 168 0.505746403639217 FALSE ""
500 0.25 4115 169 0.252520005254077 FALSE ""
700 0.5 3188 170 0.498058809906165 FALSE ""
500 0.25 66 171 0.246546297312496 FALSE ""
700 1 1310 172 0.996155461152339 FALSE ""
500 0.5 711 173 0.504151021369433 FALSE ""
700 0.5 2808 174 0.512427403278688 FALSE ""
500 1 2208 175 1.01113570930066 FALSE ""
500 1 4835 176 1.01830021143845 FALSE ""
700 2 4914 177 1.96606562036828 FALSE ""
700 2 3304 178 2.02365106998848 FALSE ""
700 0.25 4054 179 0.25244064205507 FALSE ""
700 2 1089 180 2.06474998271531 FALSE ""
500 2 2220 181 1.98637894311849 FALSE ""
500 2 1108 182 1.98468077280018 FALSE ""
500 2 209 183 1.92842736542097 FALSE ""
500 1 1345 184 1.01687001072659 FALSE ""
500 0.25 2072 185 0.249946717741696 FALSE ""
700 2 3041 186 2.00370170733492 FALSE ""
500 1 4665 187 1.03109361869724 FALSE ""
500 0.25 614 188 0.24488872014755 FALSE ""
500 2 3222 189 2.04415068611105 FALSE ""
500 1 976 190 1.02233287027381 FALSE ""
700 1 4669 191 0.996418706079467 FALSE ""
500 0.25 4357 192 0.250987072630761 FALSE ""
500 1 4599 193 0.990518989884655 FALSE ""
500 0.25 1952 194 0.24935336217789 FALSE ""
500 0.25 1691 195 0.250350663351074 FALSE ""
500 0.25 4137 196 0.252142139249017 FALSE ""
700 0.25 637 197 0.25197801384235 FALSE ""
700 1 1963 198 0.978695937677601 FALSE ""
500 2 852 199 1.97059646779039 FALSE ""
700 0.25 2939 200 0.250040487520945 FALSE ""
700 0.25 2447 201 0.249656616290343 FALSE ""
700 0.25 4928 202 0.249585636178754 FALSE ""
500 0.25 3870 203 0.242646394241438 FALSE ""
500 0.25 1516 204 0.253526847115612 FALSE ""
700 0.5 3069 205 0.502349160638748 FALSE ""
500 0.5 2167 206 0.521860217059398 FALSE ""
700 1 1319 207 1.00137881428015 FALSE ""
500 1 1364 208 0.975973766548904 FALSE ""
700 2 3347 209 1.96634447872415 FALSE ""
700 0.5 4996 210 0.492383898913969 FALSE ""
500 2 2479 211 1.98120857113063 FALSE ""
700 0.5 1482 212 0.501386666351157 FALSE ""
700 0.25 3189 213 0.248789065709469 FALSE ""
500 0.5 488 214 0.499529924936226 FALSE ""
700 2 3491 215 2.01219031009819 FALSE ""
500 0.5 4155 216 0.502789754856057 FALSE ""
500 0.25 4784 217 0.23957465508555 FALSE ""
700 0.25 684 218 0.250235230188812 FALSE ""
700 0.25 3498 219 0.247365231433679 FALSE ""
700 1 141 220 0.998086532468491 FALSE ""
700 0.5 2280 221 0.495877963642906 FALSE ""
700 0.25 3990 222 0.250201582660634 FALSE ""
700 2 1560 223 2.06576203521706 FALSE ""
700 0.25 1514 224 0.246879545743074 FALSE ""
500 2 4723 225 1.90967093024471 FALSE ""
700 0.25 2658 226 0.249596366669268 FALSE ""
700 2 2176 227 2.02906260315964 FALSE ""
500 0.5 4359 228 0.48670301944497 FALSE ""
700 1 2003 229 1.01497207797251 FALSE ""
500 0.5 371 230 0.514609475803978 FALSE ""
700 0.5 3204 231 0.511829511537451 FALSE ""
500 2 839 232 2.03583777272066 FALSE ""
700 1 3590 233 1.01134343882024 FALSE ""
500 1 3509 234 0.990014747818166 FALSE ""
700 1 4597 235 1.00741532507929 FALSE ""
500 1 4704 236 0.991913413191015 FALSE ""
500 0.25 4399 237 0.253944834726007 FALSE ""
500 0.5 2788 238 0.510467746349357 FALSE ""
500 1 1543 239 1.01520915830596 FALSE ""
700 0.25 51 240 0.24728817776276 FALSE ""
700 0.5 1315 241 0.492880726030169 FALSE ""
700 1 2222 242 1.02139905826722 FALSE ""
500 0.25 3181 243 0.24575370062085 FALSE ""
700 1 2867 244 1.00725448381309 FALSE ""
700 1 4908 245 0.983347499602044 FALSE ""
500 2 2854 246 2.02596197880052 FALSE ""
500 0.25 4725 247 0.256447996522052 FALSE ""
700 1 2678 248 1.00125469412515 FALSE ""
700 2 4094 249 1.94183650558333 FALSE ""
700 2 453 250 1.96929722205643 FALSE ""
500 2 2252 251 1.99115208641812 FALSE ""
