"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
1200 0.5 994 1 0.504834586933313 FALSE ""
600 0.25 184 2 0.242966745582836 FALSE ""
600 1 538 3 0.998835138776613 FALSE ""
800 0.25 281 4 0.252033996261106 FALSE ""
400 0.5 645 5 0.494763541478379 FALSE ""
1200 0.25 706 6 0.247005713973523 FALSE ""
1000 1 916 7 0.977291226307328 FALSE ""
400 2 161 8 2.03639908175455 FALSE ""
1000 0.5 848 9 0.501301568724107 FALSE ""
1000 1 486 10 1.01202904491474 FALSE ""
400 2 376 11 1.99613035145576 FALSE ""
600 1 153 12 1.01389540982007 FALSE ""
1000 1 419 13 0.993298232711911 FALSE ""
1000 1 114 14 1.02105706028695 FALSE ""
200 0.25 641 15 0.249295850282829 FALSE ""
400 0.5 857 16 0.515257462083751 FALSE ""
800 2 769 17 1.98035625715739 FALSE ""
400 0.5 832 18 0.503059511455638 FALSE ""
800 0.5 482 19 0.503641891879765 FALSE ""
200 2 73 20 1.96206857377513 FALSE ""
400 0.25 621 21 0.246479285929272 FALSE ""
400 0.25 529 22 0.253958957437705 FALSE ""
1200 0.25 950 23 0.247248889508536 FALSE ""
1000 1 524 24 0.98759198199986 FALSE ""
600 2 752 25 1.98295874990837 FALSE ""
400 0.5 868 26 0.497954594219272 FALSE ""
400 0.5 9 27 0.495035215672112 FALSE ""
1000 0.5 744 28 0.506869560814486 FALSE ""
1200 1 656 29 0.996719834047105 FALSE ""
600 2 870 30 1.99674690695808 FALSE ""
1000 0.25 779 31 0.249255422757764 FALSE ""
400 0.25 62 32 0.245201989963324 FALSE ""
200 2 604 33 1.96422462597537 FALSE ""
1200 0.25 615 34 0.250372023634128 FALSE ""
400 1 398 35 1.01618954206599 FALSE ""
600 0.25 313 36 0.246512769521874 FALSE ""
200 0.5 688 37 0.478824407616928 FALSE ""
800 2 48 38 1.9900675623094 FALSE ""
600 0.25 230 39 0.255504331831915 FALSE ""
800 2 206 40 2.01756506027248 FALSE ""
1200 0.25 242 41 0.249843885656576 FALSE ""
600 2 66 42 2.00696734067694 FALSE ""
200 0.5 763 43 0.501628482684258 FALSE ""
1000 1 463 44 1.0050892298871 FALSE ""
800 2 371 45 1.97623092169035 FALSE ""
400 0.25 661 46 0.255320155401117 FALSE ""
1200 2 72 47 NA FALSE ""
1000 1 277 48 0.992287518483796 FALSE ""
400 2 399 49 1.93903252710842 FALSE ""
1200 0.25 140 50 0.255817826819537 FALSE ""
400 0.25 625 51 0.255423848632875 FALSE ""
800 1 803 52 0.998537410337377 FALSE ""
1000 0.5 827 53 0.50450784050024 FALSE ""
1200 2 340 54 2.01569875684936 FALSE ""
1000 1 572 55 0.99584168705416 FALSE ""
1200 0.5 675 56 0.499448610742824 FALSE ""
400 0.25 40 57 0.25979825166055 FALSE ""
200 0.25 341 58 0.264028719724828 FALSE ""
400 1 264 59 0.964382477861 FALSE ""
800 1 979 60 1.01972493668646 FALSE ""
200 2 139 61 1.95647097355351 FALSE ""
400 2 587 62 1.93665522580501 FALSE ""
600 1 692 63 1.01927551166583 FALSE ""
1200 1 88 64 1.01046159556476 FALSE ""
800 1 592 65 1.00617073863807 FALSE ""
400 0.25 663 66 0.258063668534148 FALSE ""
200 0.5 110 67 0.490508836204381 FALSE ""
1000 2 174 68 2.03613263163308 FALSE ""
200 0.25 395 69 0.252024354055247 FALSE ""
1200 1 561 70 0.986495890018326 FALSE ""
800 2 80 71 2.02000889493749 FALSE ""
1200 0.25 277 72 0.255156612559353 FALSE ""
400 0.25 671 73 0.249742853874406 FALSE ""
800 2 912 74 2.02201449861148 FALSE ""
1200 1 322 75 0.976823788157489 FALSE ""
200 0.25 86 76 0.249512098521913 FALSE ""
200 2 670 77 1.98761749847549 FALSE ""
1200 0.25 705 78 0.250086600138603 FALSE ""
1000 0.25 694 79 0.252063886749704 FALSE ""
200 2 811 80 2.01507839617859 FALSE ""
800 0.25 585 81 0.246528766433746 FALSE ""
600 0.25 630 82 0.237470315810568 FALSE ""
1200 0.25 841 83 0.251009767281878 FALSE ""
200 1 71 84 0.997495504113101 FALSE ""
600 0.5 268 85 0.490491686654391 FALSE ""
1200 0.25 658 86 0.250803791602023 FALSE ""
1200 1 244 87 0.990635648169626 FALSE ""
600 0.25 862 88 0.24905932910619 FALSE ""
1000 2 428 89 1.99105079232791 FALSE ""
600 0.25 517 90 0.254783526580996 FALSE ""
800 2 745 91 2.02706426644525 FALSE ""
1000 2 322 92 1.98588166478999 FALSE ""
800 0.5 549 93 0.509342282358792 FALSE ""
800 0.5 296 94 0.499661566152313 FALSE ""
1000 0.25 288 95 0.251105351368814 FALSE ""
400 1 785 96 0.990581685314563 FALSE ""
800 0.25 962 97 0.246847408284502 FALSE ""
1000 0.25 576 98 0.247813598638972 FALSE ""
1000 0.5 62 99 0.494486646125982 FALSE ""
600 0.25 89 100 0.262720221456096 FALSE ""
200 0.25 939 101 0.249334452100402 FALSE ""
600 0.5 29 102 0.498913393864421 FALSE ""
600 0.25 689 103 0.259572308879156 FALSE ""
200 0.25 915 104 0.248421703506336 FALSE ""
400 2 130 105 2.00813326706792 FALSE ""
1200 1 558 106 0.994986093786491 FALSE ""
800 0.5 736 107 0.489372612248985 FALSE ""
1200 0.25 518 108 0.257427266407881 FALSE ""
400 0.5 245 109 0.496733668327238 FALSE ""
600 2 551 110 1.97331168027162 FALSE ""
600 1 436 111 0.989432357213409 FALSE ""
400 2 31 112 1.96116135793937 FALSE ""
200 2 483 113 1.91738599326547 FALSE ""
1000 0.25 364 114 0.251602502062644 FALSE ""
1000 1 326 115 0.983795233243318 FALSE ""
1200 0.5 822 116 0.49066831507267 FALSE ""
1200 1 137 117 1.00382949147876 FALSE ""
400 1 96 118 1.00026326239508 FALSE ""
600 0.5 288 119 0.500490771285394 FALSE ""
600 0.5 708 120 0.511476162054485 FALSE ""
1200 0.5 389 121 0.496115249729141 FALSE ""
1200 2 109 122 1.97966516402511 FALSE ""
200 2 711 123 2.02034378208998 FALSE ""
400 0.5 86 124 0.522826216465131 FALSE ""
400 0.5 201 125 0.505358774960923 FALSE ""
600 1 354 126 0.997256657919865 FALSE ""
1000 0.25 840 127 0.254272866710307 FALSE ""
200 2 832 128 1.98471318152092 FALSE ""
600 0.5 390 129 0.50582771579702 FALSE ""
600 0.5 724 130 0.510650798243518 FALSE ""
1200 0.25 603 131 0.248523266423326 FALSE ""
1000 2 821 132 1.99711612619187 FALSE ""
800 0.5 591 133 0.491163349519735 FALSE ""
200 0.5 670 134 0.461060695768981 FALSE ""
1200 0.25 102 135 0.248913071901593 FALSE ""
400 2 401 136 1.99414942698429 FALSE ""
800 2 828 137 2.0447486696492 FALSE ""
400 0.5 145 138 0.507241387595131 FALSE ""
800 0.5 578 139 0.516925433495611 FALSE ""
600 1 301 140 1.01865919233261 FALSE ""
1000 1 320 141 1.01053191861718 FALSE ""
400 1 352 142 1.0024699883996 FALSE ""
200 1 345 143 0.945607803882631 FALSE ""
1200 2 218 144 1.99274010759003 FALSE ""
600 0.25 825 145 0.246959211711049 FALSE ""
200 0.5 815 146 0.483351295112186 FALSE ""
1200 0.5 91 147 0.502194094108117 FALSE ""
1200 0.5 202 148 0.502266112894094 FALSE ""
400 1 480 149 1.01516542095633 FALSE ""
800 1 351 150 0.998874264480234 FALSE ""
1000 0.5 716 151 0.50067912713702 FALSE ""
1000 0.25 266 152 0.250757023452821 FALSE ""
600 0.25 586 153 0.245992324314132 FALSE ""
400 1 186 154 0.970174694673795 FALSE ""
