"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
500 1 1211 1 0.993971102952316 FALSE ""
50 0.5 4711 2 0.466014197262686 FALSE ""
100 1 3506 3 1.0168445208418 FALSE ""
100 2 2150 4 2.0577897850362 FALSE ""
100 0.25 4918 5 0.25812448265083 FALSE ""
50 0.25 3236 6 0.278869523097985 FALSE ""
500 2 3512 7 2.03563338235721 FALSE ""
100 1 2201 8 1.04859385571703 FALSE ""
50 1 457 9 1.04288421882017 FALSE ""
1000 0.5 2232 10 0.500952522121993 FALSE ""
1000 0.25 4347 11 0.255209289957437 FALSE ""
500 1 1202 12 0.994570249671317 FALSE ""
1000 0.5 1589 13 0.505994869068805 FALSE ""
500 2 1392 14 1.97856846286521 FALSE ""
50 2 634 15 1.83441514274684 FALSE ""
1000 0.5 3374 16 0.489242631932055 FALSE ""
500 0.25 2506 17 0.249327245716272 FALSE ""
500 0.5 1078 18 0.502866236092945 FALSE ""
1000 0.5 4340 19 0.498907130581273 FALSE ""
100 0.5 2539 20 0.503792363697569 FALSE ""
50 2 1029 21 2.09969459635392 FALSE ""
100 0.5 3731 22 0.477458805104657 FALSE ""
500 1 3858 23 1.03015450854003 FALSE ""
1000 1 1482 24 1.00383171268829 FALSE ""
50 2 1788 25 2.02860950366827 FALSE ""
500 2 608 26 2.1031370338539 FALSE ""
50 1 2465 27 1.05079401944528 FALSE ""
100 2 4852 28 2.14695861754647 FALSE ""
100 0.5 2464 29 0.547763555971569 FALSE ""
1000 0.5 3133 30 0.497560333096651 FALSE ""
1000 1 1610 31 0.979363878534698 FALSE ""
50 2 2048 32 1.99454732284288 FALSE ""
50 1 725 33 0.917902368595211 FALSE ""
50 2 1988 34 1.9731588158636 FALSE ""
100 0.5 1152 35 0.504528408934962 FALSE ""
1000 2 4931 36 2.00347243791058 FALSE ""
100 0.25 1310 37 0.239363405013855 FALSE ""
1000 1 4868 38 1.01569395624947 FALSE ""
100 2 215 39 1.97751679339959 FALSE ""
500 0.5 83 40 0.49264781513952 FALSE ""
100 2 3167 41 2.05785173269721 FALSE ""
1000 0.5 3713 42 0.505978520902013 FALSE ""
500 1 3183 43 0.995658081154915 FALSE ""
100 0.5 3961 44 0.498872305474961 FALSE ""
500 1 207 45 1.02315768984851 FALSE ""
1000 0.25 4764 46 0.247859345463515 FALSE ""
100 0.5 2965 47 0.477453713185763 FALSE ""
50 2 4245 48 1.9859689260984 FALSE ""
1000 0.25 4107 49 0.248048457109774 FALSE ""
1000 0.5 3291 50 0.492785833182446 FALSE ""
100 0.5 3919 51 0.525033763556858 FALSE ""
100 2 301 52 1.98255552280901 FALSE ""
1000 0.25 680 53 0.247869055186631 FALSE ""
50 2 1061 54 2.01089939706364 FALSE ""
50 1 4740 55 1.00325062124738 FALSE ""
100 1 1107 56 1.00410175579402 FALSE ""
100 2 1483 57 2.02984819513107 FALSE ""
50 0.25 2358 58 0.228191522791305 FALSE ""
100 0.25 4500 59 0.238519056774992 FALSE ""
1000 1 2249 60 0.994755473191377 FALSE ""
50 2 4873 61 1.91557778956957 FALSE ""
1000 0.25 253 62 0.244582026968955 FALSE ""
500 0.5 4072 63 0.498330428271641 FALSE ""
500 1 4719 64 1.01435808133927 FALSE ""
50 2 2033 65 1.91045467608931 FALSE ""
1000 1 3097 66 1.00641289750857 FALSE ""
500 0.25 3246 67 0.246005020568395 FALSE ""
1000 0.5 3793 68 0.496875195325243 FALSE ""
