"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
150 0.25 18 1 0.231531272723012 FALSE ""
50 1 541 2 1.07610467177391 FALSE ""
250 0.5 454 3 0.475440384276249 FALSE ""
200 0.5 989 4 0.493136889706782 FALSE ""
250 0.5 700 5 0.499860251170736 FALSE ""
250 1 28 6 1.0182777628247 FALSE ""
200 0.5 120 7 0.511392452208241 FALSE ""
300 0.25 299 8 0.251724523803546 FALSE ""
50 0.5 780 9 0.532922641113213 FALSE ""
200 0.5 944 10 0.517408301863514 FALSE ""
150 0.25 659 11 0.260047117524724 FALSE ""
100 1 174 12 1.00530942650175 FALSE ""
250 2 464 13 2.02977313411475 FALSE ""
150 2 867 14 1.78635636820057 FALSE ""
50 0.25 12 15 0.240333521523906 FALSE ""
100 1 939 16 0.969042172515823 FALSE ""
200 2 928 17 1.9902987097483 FALSE ""
150 0.25 786 18 0.25604968074961 FALSE ""
50 1 347 19 0.983882497728312 FALSE ""
200 0.25 800 20 0.244578404975671 FALSE ""
250 1 365 21 0.979130731446705 FALSE ""
150 0.25 325 22 0.248724470366004 FALSE ""
300 2 164 23 1.95997857940521 FALSE ""
300 0.5 21 24 0.517161817959451 FALSE ""
50 2 314 25 1.97370362395077 FALSE ""
200 1 268 26 1.05081616048415 FALSE ""
300 0.5 777 27 0.501318847124764 FALSE ""
100 0.5 932 28 0.446623301779951 FALSE ""
150 1 600 29 0.971176765681796 FALSE ""
300 0.5 973 30 0.498410830618022 FALSE ""
150 0.5 877 31 0.481107755013874 FALSE ""
150 0.25 69 32 0.23447843524256 FALSE ""
300 2 659 33 1.99218860323314 FALSE ""
150 0.25 518 34 0.249179005188986 FALSE ""
50 1 840 35 0.950652761442059 FALSE ""
50 2 398 36 1.94294877859914 FALSE ""
300 0.25 894 37 0.24235593495279 FALSE ""
50 1 214 38 0.948611628246212 FALSE ""
300 0.25 741 39 0.253323649060933 FALSE ""
50 0.25 706 40 0.244264359406451 FALSE ""
150 2 458 41 1.99646616669259 FALSE ""
200 0.5 356 42 0.503270720056704 FALSE ""
150 2 970 43 1.94445861005389 FALSE ""
300 0.25 508 44 0.248493852431458 FALSE ""
100 0.5 473 45 0.51507057637642 FALSE ""
100 0.25 168 46 0.249964670117707 FALSE ""
100 2 15 47 1.91288201672721 FALSE ""
300 2 731 48 2.04328495025029 FALSE ""
150 2 410 49 2.12799445513094 FALSE ""
150 1 262 50 0.943710133643149 FALSE ""
100 1 479 51 0.98761024535045 FALSE ""
150 2 236 52 2.12097618638168 FALSE ""
50 1 185 53 0.955396614292647 FALSE ""
50 0.5 82 54 0.525937232250304 FALSE ""
200 1 819 55 1.02162996468229 FALSE ""
50 0.25 732 56 0.234679227820989 FALSE ""
200 2 52 57 1.91702816892667 FALSE ""
150 0.5 230 58 0.509005582531578 FALSE ""
200 0.25 806 59 0.258737454515095 FALSE ""
50 0.5 745 60 0.52695488363833 FALSE ""
150 2 329 61 1.97066957305644 FALSE ""
150 0.5 292 62 0.501739310363128 FALSE ""
50 0.25 717 63 0.22517272948108 FALSE ""
100 0.5 561 64 0.496910049931169 FALSE ""
50 2 775 65 2.04840005834115 FALSE ""
100 0.25 675 66 0.23367236936535 FALSE ""
50 1 282 67 0.946529249799794 FALSE ""
150 0.5 946 68 0.533702329211028 FALSE ""
200 1 39 69 1.00279266385339 FALSE ""
50 0.5 38 70 0.454740054659316 FALSE ""
100 1 887 71 1.02220057779341 FALSE ""
150 0.5 128 72 0.558661021661843 FALSE ""
200 2 5 73 1.98124602741359 FALSE ""
300 0.25 368 74 0.250964753323482 FALSE ""
50 0.5 787 75 0.52657745557843 FALSE ""
150 0.5 519 76 0.505770652218278 FALSE ""
50 1 384 77 0.955313779392728 FALSE ""
300 2 562 78 2.03463731912153 FALSE ""
200 0.5 268 79 0.50497006324588 FALSE ""
50 0.25 997 80 0.253798217083873 FALSE ""
250 0.25 556 81 0.260276422028311 FALSE ""
200 2 658 82 2.02744955175043 FALSE ""
150 2 839 83 2.0005885122426 FALSE ""
300 2 455 84 1.93644317653967 FALSE ""
100 0.25 282 85 0.245319055741406 FALSE ""
100 0.25 732 86 0.249350381591746 FALSE ""
300 0.5 664 87 0.494363538109849 FALSE ""
250 0.25 16 88 0.248811382417943 FALSE ""
50 0.5 311 89 0.486288284994411 FALSE ""
100 0.25 959 90 0.250202111498506 FALSE ""
200 1 510 91 1.02008040059699 FALSE ""
250 2 636 92 1.99090010518639 FALSE ""
250 1 783 93 1.02547883060153 FALSE ""
250 0.25 459 94 0.252984984630677 FALSE ""
50 2 909 95 2.16919834594141 FALSE ""
250 1 608 96 1.05470177061301 FALSE ""
200 0.25 110 97 0.245124114087468 FALSE ""
300 2 256 98 2.00377013235913 FALSE ""
200 0.25 125 99 0.250129182249927 FALSE ""
300 0.25 667 100 0.248366060908117 FALSE ""
50 0.5 879 101 0.495422415103127 FALSE ""
250 2 852 102 2.01624517297426 FALSE ""
250 2 890 103 2.02222938032729 FALSE ""
50 2 65 104 2.08748942822596 FALSE ""
50 0.5 215 105 0.523070716084405 FALSE ""
250 2 552 106 1.97108890408595 FALSE ""
50 2 809 107 2.25045854133054 FALSE ""
150 0.5 779 108 0.476175478917676 FALSE ""
200 0.25 123 109 0.238602462695623 FALSE ""
300 1 408 110 1.02554731415332 FALSE ""
300 1 719 111 1.00475941672395 FALSE ""
250 2 66 112 1.96621958082837 FALSE ""
300 2 936 113 1.99267121535172 FALSE ""
300 0.25 998 114 0.255374275169582 FALSE ""
200 1 253 115 1.01387117294111 FALSE ""
50 0.25 37 116 0.254726443354961 FALSE ""
200 1 811 117 1.03298919296938 FALSE ""
300 0.5 159 118 0.502722361647248 FALSE ""
100 2 217 119 2.0370806788984 FALSE ""
250 0.25 458 120 0.265932915318559 FALSE ""
200 2 309 121 1.95144120774096 FALSE ""
150 2 529 122 2.04499822127293 FALSE ""
250 0.5 614 123 0.490271840872177 FALSE ""
300 0.25 973 124 0.249298821665438 FALSE ""
100 2 594 125 1.98957835701947 FALSE ""
150 0.5 871 126 0.491427476251071 FALSE ""
250 0.25 517 127 0.241086798592506 FALSE ""
100 2 312 128 2.03173416005642 FALSE ""
300 0.5 706 129 0.50126866179434 FALSE ""
250 1 346 130 0.975829205109966 FALSE ""
100 2 349 131 2.05117667787616 FALSE ""
200 0.5 647 132 0.506812125777871 FALSE ""
100 0.25 75 133 0.250914665333 FALSE ""
100 0.5 893 134 0.500490611351581 FALSE ""
300 0.25 289 135 0.250226120744513 FALSE ""
150 1 667 136 0.978915856237655 FALSE ""
100 1 493 137 1.02993225625501 FALSE ""
300 0.25 79 138 0.243875947617889 FALSE ""
50 2 719 139 1.9092112209855 FALSE ""
50 0.5 177 140 0.539436667822578 FALSE ""
300 0.25 104 141 0.257559532874493 FALSE ""
300 0.25 347 142 0.245030196156193 FALSE ""
150 0.5 548 143 0.531170426988193 FALSE ""
150 2 685 144 1.96006098875349 FALSE ""
250 0.5 722 145 0.49927425697893 FALSE ""
150 1 618 146 1.00989661430028 FALSE ""
50 1 86 147 0.932582406838389 FALSE ""
150 1 310 148 0.960291766715015 FALSE ""
150 2 9 149 2.01807408463343 FALSE ""
150 1 914 150 0.984106791363569 FALSE ""
100 2 157 151 1.92978622158432 FALSE ""
50 0.25 267 152 0.239916110589229 FALSE ""
300 0.5 56 153 0.50175052389724 FALSE ""
50 1 355 154 1.00019520993799 FALSE ""
300 1 982 155 1.00914987761355 FALSE ""
300 1 184 156 1.02777834037767 FALSE ""
150 0.5 943 157 0.490032252375132 FALSE ""
150 2 341 158 2.06063158003954 FALSE ""
250 1 549 159 0.99880234180775 FALSE ""
50 0.25 132 160 0.232095250094625 FALSE ""
150 2 785 161 2.03473324411314 FALSE ""
300 0.25 757 162 0.255685555626471 FALSE ""
50 1 198 163 1.02533094975948 FALSE ""
300 1 858 164 0.992689873124432 FALSE ""
200 2 788 165 1.89844414130485 FALSE ""
100 2 947 166 1.99748437100419 FALSE ""
200 0.25 127 167 0.251597245941655 FALSE ""
300 0.25 290 168 0.249795448424299 FALSE ""
250 1 671 169 1.00498048226788 FALSE ""
100 2 981 170 1.9245689782963 FALSE ""
50 0.5 359 171 0.520009253866753 FALSE ""
200 1 960 172 1.0119959013652 FALSE ""
300 0.25 797 173 0.248822217994806 FALSE ""
200 1 806 174 0.992592437394468 FALSE ""
300 0.5 958 175 0.49569528999908 FALSE ""
300 2 711 176 1.96535673750985 FALSE ""
100 1 22 177 0.989115489754103 FALSE ""
300 1 886 178 1.00082420293877 FALSE ""
200 2 266 179 2.02074596567086 FALSE ""
50 0.25 330 180 0.238835020882028 FALSE ""
50 2 17 181 1.98595074153752 FALSE ""
300 0.5 870 182 0.516261336792438 FALSE ""
100 0.25 610 183 0.258226871436569 FALSE ""
100 0.25 833 184 0.260371628630056 FALSE ""
300 0.25 760 185 0.253358745144788 FALSE ""
200 2 124 186 1.96265260533707 FALSE ""
50 2 176 187 1.74568401002235 FALSE ""
100 1 999 188 0.997553343284347 FALSE ""
250 0.5 490 189 0.511320226027171 FALSE ""
50 0.25 992 190 0.251904895536029 FALSE ""
150 2 709 191 2.10610301058684 FALSE ""
200 0.5 390 192 0.491547678699717 FALSE ""
300 1 359 193 0.999847357624791 FALSE ""
300 1 485 194 0.997826225473348 FALSE ""
250 0.25 870 195 0.259011121099257 FALSE ""
300 0.25 138 196 0.25633605462449 FALSE ""
300 0.5 416 197 0.494187392273401 FALSE ""
300 0.5 643 198 0.484126118055863 FALSE ""
150 0.5 275 199 0.504777873956524 FALSE ""
300 0.25 321 200 0.255754830847937 FALSE ""
50 1 543 201 1.03516777084209 FALSE ""
300 0.5 384 202 0.484628314639432 FALSE ""
150 1 177 203 1.02793681679716 FALSE ""
200 0.5 738 204 0.512463662286326 FALSE ""
100 0.5 449 205 0.516322442757656 FALSE ""
50 1 520 206 1.01079007515787 FALSE ""
250 0.5 558 207 0.502048437572348 FALSE ""
200 0.25 793 208 0.248426165536463 FALSE ""
50 1 656 209 0.919485052125053 FALSE ""
50 1 554 210 0.985437540864037 FALSE ""
200 2 478 211 1.98187876990857 FALSE ""
100 0.25 715 212 0.260530716576169 FALSE ""
50 0.25 97 213 0.258064114988495 FALSE ""
100 1 364 214 0.99365556895713 FALSE ""
100 0.5 247 215 0.512937712227079 FALSE ""
150 0.25 766 216 0.253933649482915 FALSE ""
250 2 265 217 2.06837339938679 FALSE ""
