"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
100 0.5 112 1 0.522159727655792 FALSE ""
200 0.5 376 2 0.483268883498234 FALSE ""
30 0.5 45 3 0.42374912307372 FALSE ""
30 2 675 4 1.90671310439864 FALSE ""
50 0.25 48 5 0.239573812444125 FALSE ""
50 2 736 6 1.98834769399693 FALSE ""
200 1 5 7 1.00582118327955 FALSE ""
200 0.25 493 8 0.241423942321049 FALSE ""
200 0.5 383 9 0.492063609115212 FALSE ""
200 0.25 631 10 0.253781046383233 FALSE ""
200 0.5 669 11 0.508892169092414 FALSE ""
50 0.25 21 12 0.226285678434089 FALSE ""
30 1 806 13 1.01059717087123 FALSE ""
200 1 691 14 0.993159382208321 FALSE ""
100 0.25 923 15 0.2581434266526 FALSE ""
100 0.25 985 16 0.253784837367531 FALSE ""
30 0.25 364 17 0.26494689900866 FALSE ""
30 2 747 18 1.99542889149626 FALSE ""
30 2 579 19 1.64413974706746 FALSE ""
100 1 430 20 0.983656726299876 FALSE ""
100 0.5 789 21 0.531007130958122 FALSE ""
30 2 505 22 1.88822356093232 FALSE ""
50 0.25 939 23 0.248590542513474 FALSE ""
30 0.25 227 24 0.230699443555194 FALSE ""
30 2 479 25 1.95705773814706 FALSE ""
100 0.25 967 26 0.254801732710556 FALSE ""
200 1 446 27 1.05606903712563 FALSE ""
200 2 262 28 1.99296359540979 FALSE ""
200 0.5 943 29 0.513911554691306 FALSE ""
50 2 326 30 2.00777626917657 FALSE ""
30 1 223 31 1.01280781603756 FALSE ""
100 2 424 32 1.99623014617727 FALSE ""
50 2 405 33 1.83768341179415 FALSE ""
30 2 36 34 2.15730792753137 FALSE ""
30 0.25 398 35 0.263360382752972 FALSE ""
200 1 589 36 1.0069768581166 FALSE ""
50 2 813 37 1.93935175408723 FALSE ""
100 0.5 546 38 0.446036885539775 FALSE ""
50 2 706 39 2.16460460886443 FALSE ""
100 0.5 702 40 0.473548636819074 FALSE ""
50 0.25 979 41 0.245861984932626 FALSE ""
200 1 125 42 1.0472115559017 FALSE ""
200 0.5 672 43 0.504174425019236 FALSE ""
30 1 188 44 0.927337247166205 FALSE ""
50 0.5 480 45 0.516258420675386 FALSE ""
50 0.5 467 46 0.453970472556796 FALSE ""
